timestamp,x,y,z
1535253141023645,-0.125,0.125,0.125
1535253141046206,-0.25,-0.125,0
1535253141062249,-0.375,0.0625,-0.125
1535253141083805,0.3125,0.375,-0.125
1535253141107404,0.3125,0.1875,0
1535253141122410,-0.25,-0.0625,0.0625
1535253141143464,-0.375,0,-0.125
1535253141174547,-0.125,-0.0625,0.1875
1535253141213692,-0.8125,-0.0625,0.375
1535253141214654,0.125,0.125,0
1535253141226686,-0.0625,-0.0625,-0.1875
1535253141242741,-0.0625,-0.125,-0.1875
1535253141264788,-0.25,0,-0.25
1535253141288350,0.125,-0.0625,-0.125
1535253141323492,-0.1875,-0.0625,0
1535253141333470,0,0.1875,0.0625
1535253141346505,0,0.1875,0.125
1535253141369064,-0.5,-0.125,-0.125
1535253141384104,-0.1875,-0.0625,0
1535253141408168,-0.125,-0.0625,-0.0625
1535253141428723,-0.0625,0.1875,0
1535253141445267,0.125,0.125,0.125
1535253141467827,-0.25,0.125,0.1875
1535253141482867,-0.5,0,0.375
1535253141505474,-0.125,0.0625,0.4375
1535253141528219,0.125,0.0625,0.0625
1535253141549043,0.5,0,-0.0625
1535253141565587,0,-0.1875,-0.0625
1535253141588165,-0.75,-0.25,0
1535253141602185,-0.125,-0.125,0.0625
1535253141625747,-0.3125,0.0625,0.1875
1535253141647908,-0.75,-0.125,0.375
1535253141669280,-1.25,-0.125,0.3125
1535253141685456,-0.9375,-0.0625,-0.25
1535253141713983,0.0625,-0.0625,0.25
1535253141736625,-0.375,-0.125,0.375
1535253141759102,-0.375,-0.0625,-0.25
1535253141775647,0.0625,0.0625,-0.1875
1535253141789182,0.1875,0,-0.0625
1535253141805726,-0.3125,0.125,0.125
1535253141827786,0.125,0,0.1875
1535253141849343,-0.1875,-0.0625,0.0625
1535253141865472,-0.3125,-0.125,-0.0625
1535253141887946,0.0625,-0.0625,-0.125
1535253141909001,0.0625,-0.0625,-0.1875
1535253141925545,-0.0625,0.125,-0.125
1535253141948106,0.125,0.1875,0.0625
1535253141969161,-0.5625,-0.25,-0.125
1535253141985705,-0.8125,-0.3125,-0.0625
1535253142007763,-0.4375,-0.25,0.0625
1535253142028821,-0.3125,0.0625,0.0625
1535253142045365,-0.3125,0.0625,0.0625
1535253142067924,-0.3125,0,0.125
1535253142096500,-0.25,-0.3125,0.0625
1535253142105524,-0.75,-0.375,0.125
1535253142128084,-0.5,-0.125,0
1535253142150644,0.1875,0.0625,0
1535253142165684,0.0625,0.4375,0
1535253142188245,-0.375,0.125,0.5
1535253142210805,-0.875,0,0.4375
1535253142225462,0,0.0625,-0.25
1535253142247902,0.3125,0.1875,-0.1875
1535253142270463,0.125,0,0
1535253142293022,-0.0625,-0.0625,-0.0625
1535253142314079,-0.0625,0,0.0625
1535253142330623,-0.3125,0.0625,-0.125
1535253142353184,-0.1875,0.0625,0.25
1535253142374239,-0.3125,0.0625,0.125
1535253142390650,0.125,0.375,-0.375
1535253142412843,0.375,0.375,-0.25
1535253142433899,-0.125,0,0.0625
1535253142450441,0,0.125,-0.125
1535253142473001,0.0625,0.1875,-0.1875
1535253142494152,0.25,0.1875,-0.125
1535253142510604,0,0.0625,0.0625
1535253142533190,0.125,0.1875,0.125
1535253142554218,0.3125,0.3125,0
1535253142570761,0.125,0.125,-0.0625
1535253142593321,-0.25,0.0625,-0.25
1535253142615380,0.625,0,-0.125
1535253142630968,0.375,0.0625,0.125
1535253142653514,0.375,0.3125,0.0625
1535253142675542,0.125,0.1875,-0.125
1535253142690583,-0.25,0,-0.1875
1535253142713142,-0.1875,0.0625,-0.0625
1535253142735704,-0.1875,0.125,0.0625
1535253142749740,0.1875,0.125,0.3125
1535253142773416,0.0625,-0.0625,0.3125
1535253142795360,-0.125,0,0
1535253142809958,-0.1875,0,-0.0625
1535253142833219,0,0,-0.0625
1535253142855521,0.0625,0.1875,0.3125
1535253142870563,0.125,0.25,0.375
1535253142893122,-0.1875,0.25,0.25
