timestamp,x,y,z,w
1535253373575069,-0.571594,-0.491028,0.381287,0.535583
1535253373597640,-0.569946,-0.492493,0.381104,0.536072
1535253373605650,-0.57196,-0.49176,0.381104,0.534607
1535253373629284,-0.569153,-0.492981,0.380981,0.53656
1535253373658339,-0.568237,-0.495972,0.378174,0.536743
1535253373665698,-0.567383,-0.49469,0.379944,0.537537
1535253373689383,-0.566589,-0.494751,0.380188,0.538208
1535253373718522,-0.56665,-0.494995,0.380066,0.538025
1535253373749725,-0.566833,-0.4953,0.380005,0.537598
1535253373752111,-0.566467,-0.495178,0.380249,0.537903
1535253373764374,-0.565857,-0.494629,0.380432,0.538879
1535253373786247,-0.565918,-0.494568,0.380188,0.539063
1535253373809981,-0.566711,-0.494873,0.379822,0.538208
1535253373824804,-0.567139,-0.495056,0.379578,0.537781
1535253373867919,-0.567139,-0.494873,0.379578,0.537903
1535253373877970,-0.567383,-0.494873,0.379456,0.537781
1535253373884088,-0.567993,-0.494934,0.379211,0.537231
1535253373906083,-0.56842,-0.494995,0.379089,0.536804
1535253373928604,-0.568848,-0.494995,0.379211,0.536316
1535253373942661,-0.569397,-0.494934,0.37915,0.535767
1535253373965954,-0.570313,-0.494995,0.378967,0.534912
1535253373988283,-0.571167,-0.495117,0.378723,0.534119
1535253374002954,-0.57196,-0.495239,0.37854,0.533203
1535253374026133,-0.572571,-0.495239,0.378601,0.532593
1535253374048655,-0.57312,-0.495239,0.378723,0.53186
1535253374063984,-0.57373,-0.495422,0.378784,0.530945
1535253374086043,-0.574402,-0.495483,0.378723,0.530212
1535253374108602,-0.574646,-0.495361,0.378906,0.529968
1535253374124144,-0.574646,-0.495361,0.379272,0.529724
1535253374146039,-0.575012,-0.495544,0.379639,0.52887
1535253374168285,-0.575317,-0.495789,0.379944,0.528076
1535253374184419,-0.575256,-0.495605,0.380371,0.528015
1535253374205874,-0.575012,-0.495239,0.380859,0.528198
1535253374228422,-0.575256,-0.495239,0.380859,0.527954
1535253374244464,-0.575867,-0.495544,0.380676,0.527222
