timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1535252458637314,0,0,19,0,-1,-2,-1,0
1535252458645338,-5,-2,11,1,-2,-3,0,-2
1535252458645338,0,2,17,2,-1,-1,-1,-2
1535252458660376,-4,0,-5,0,0,0,2,1
1535252458660376,-2,-3,-7,-2,-1,0,-1,-3
1535252458661544,1,0,-3,1,2,4,0,1
1535252458661544,1,3,-9,2,0,0,0,2
1535252458683467,-1,1,19,0,-2,0,-1,-3
1535252458683467,0,-1,-8,-4,-2,-3,-1,0
1535252458683467,0,0,10,0,1,-2,-1,-1
1535252458683467,0,1,-20,1,0,-1,-1,-1
1535252458697475,2,-1,5,-3,-2,-1,0,0
1535252458697475,-2,-4,-7,-2,0,0,0,-2
1535252458705498,-3,-5,7,-5,-4,-1,-1,-2
1535252458705498,0,3,5,2,3,1,0,2
1535252458720675,2,1,-9,-1,0,0,-2,1
1535252458720675,-2,0,3,2,0,-1,-1,0
1535252458721670,1,3,-7,0,-1,0,0,-1
1535252458721670,0,0,-2,1,-1,-2,-1,0
1535252458743598,-1,-1,-1,-1,0,0,1,-1
1535252458743598,-1,0,7,-1,-1,0,-1,0
1535252458743743,1,0,-11,1,1,-1,-1,1
1535252458743743,0,-1,11,0,0,0,-1,0
1535252458757834,-1,-2,-9,-3,-3,-2,-2,-1
1535252458757834,-1,-4,-12,-1,0,0,-1,0
1535252458765659,-1,1,7,0,-1,1,1,-1
1535252458765659,0,1,-5,0,0,2,0,-1
1535252458788719,-2,-1,0,0,1,-1,-1,0
1535252458788719,0,-2,0,-2,-2,-3,0,-1
1535252458789722,0,0,-15,-1,-1,-2,0,-1
1535252458789722,-2,-3,13,3,2,3,2,0
1535252458802757,1,0,-6,-2,0,-1,1,0
1535252458802757,-1,-1,11,-1,-3,-2,-2,1
1535252458803871,0,-1,-9,-5,-3,-1,0,0
1535252458803871,0,-1,-10,1,1,-2,0,-1
1535252458817799,-3,-2,17,2,1,2,2,0
1535252458817799,1,0,-13,0,-2,1,1,1
1535252458825844,0,1,-5,-1,2,-1,-3,-2
1535252458825844,-1,-3,3,1,-1,2,0,0
1535252458840856,0,1,-7,0,3,3,0,0
1535252458840856,0,-2,-6,-1,-3,0,-1,-1
1535252458841859,-2,0,1,0,-1,0,0,1
1535252458841859,-2,-2,2,-6,-7,-5,-1,-3
1535252458862944,-2,-2,-4,-2,-3,-3,-3,-2
1535252458862944,-1,2,1,1,2,0,2,-1
1535252458864044,0,-2,-3,1,2,1,-1,0
1535252458864044,0,-2,3,-2,2,0,-1,-2
1535252458877955,-1,0,-7,-1,-2,-2,-1,0
1535252458877955,-1,1,4,0,-1,-2,0,1
1535252458886073,-2,-6,-36,-8,-5,-2,-2,-3
1535252458886073,-1,-2,3,-4,-1,-2,-3,1
