timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1535251498660678,-1,4,-2,2,4,2,-2,0
1535251498660678,6,-4,5,8,4,3,2,4
1535251498665761,2,6,5,0,-2,0,0,1
1535251498665761,0,6,5,3,1,-3,-2,-1
1535251498668255,1,-2,-13,2,-1,0,2,0
1535251498668255,-1,2,10,-1,1,0,-1,1
1535251498668757,-3,1,-19,2,3,0,-2,-3
1535251498668757,-1,1,36,3,-1,0,-1,0
1535251498672266,2,-2,-15,-5,-1,0,1,1
1535251498672266,-1,3,-57,-3,-3,-2,-3,-2
1535251498685804,-4,-5,38,-1,-2,-1,-1,-2
1535251498685804,0,-2,28,1,-2,1,1,1
1535251498697360,2,9,33,3,0,-1,0,-1
1535251498697360,-2,2,-67,-7,-2,-1,-2,-4
1535251498700894,-3,-11,85,-8,-6,-3,-3,-3
1535251498700894,-3,-4,4,-2,-2,-3,-2,-2
1535251498715909,-4,-5,-96,-7,1,2,-2,0
1535251498715909,2,-3,48,-2,-2,-2,0,2
1535251498732577,3,7,8,-2,-2,-2,1,0
1535251498732577,-2,-6,-19,1,1,0,0,-3
1535251498733956,3,6,39,0,1,0,1,0
1535251498733956,-3,-2,22,4,-1,-3,-1,-2
1535251498780306,-2,2,-22,-1,1,1,-2,-1
1535251498780306,1,-3,24,-1,-1,1,-1,0
1535251498781117,0,-4,-25,-1,-1,1,0,-2
1535251498781117,0,13,62,8,1,1,-2,0
1535251498783589,-2,-21,-19,-21,-7,-3,-1,0
1535251498783589,-1,1,21,7,-1,-3,1,0
1535251498792112,2,7,18,8,6,2,0,1
1535251498792112,-12,-14,16,-8,-10,-5,-5,-7
1535251498793114,2,6,43,2,0,1,3,1
1535251498793114,0,0,-12,7,3,2,-1,0
1535251498798129,-4,1,94,0,-3,-4,-4,-3
1535251498798129,4,-1,-22,2,2,2,2,3
1535251498805648,0,4,6,-1,-2,-1,-1,-1
1535251498805648,-6,-6,-46,-6,-3,-3,-3,-3
1535251498820689,4,7,-83,-3,3,2,2,3
1535251498820689,0,-2,40,13,1,0,2,0
1535251498828711,0,12,25,10,4,2,-1,-1
1535251498828711,-4,-9,-13,-12,-5,-1,-3,-4
