timestamp,x,y,z,w
1535263974157081,-0.189209,-0.767578,0.572571,0.217102
1535263974172121,-0.188965,-0.767517,0.572754,0.217163
1535263974194876,-0.188721,-0.767517,0.572876,0.217102
1535263974225819,-0.18866,-0.767761,0.572693,0.216797
1535263974232303,-0.188477,-0.767761,0.572815,0.216553
1535263974255914,-0.188049,-0.767334,0.573486,0.216675
1535263974276969,-0.187683,-0.76709,0.573975,0.216614
1535263974301034,-0.187622,-0.767334,0.573792,0.216187
1535263974345652,-0.187683,-0.767517,0.57373,0.21582
1535263974354676,-0.187439,-0.767517,0.573853,0.215698
1535263974355692,-0.187256,-0.767395,0.574097,0.215515
1535263974368714,-0.187195,-0.767517,0.574036,0.215332
1535263974390773,-0.187073,-0.767578,0.574097,0.215088
1535263974408319,-0.18689,-0.767578,0.574219,0.214844
1535263974430378,-0.186829,-0.767395,0.574524,0.214783
1535263974482244,-0.186707,-0.767334,0.574707,0.2146
1535263974483018,-0.186523,-0.767395,0.574707,0.2146
1535263974490036,-0.18634,-0.767395,0.574768,0.214539
1535263974510089,-0.186157,-0.767395,0.57489,0.214539
1535263974525631,-0.186035,-0.767273,0.575012,0.214478
1535263974556714,-0.18573,-0.767029,0.575378,0.2146
1535263974577769,-0.185364,-0.767029,0.5755,0.214783
1535263974593812,-0.18512,-0.766968,0.575562,0.214966
1535263974616449,-0.184753,-0.766968,0.575623,0.215149
1535263974637428,-0.184509,-0.76709,0.5755,0.21521
1535263974654013,-0.184326,-0.767212,0.575439,0.21521
1535263974676671,-0.184082,-0.76709,0.575623,0.215332
1535263974697590,-0.183899,-0.767212,0.575562,0.215393
1535263974714132,-0.183716,-0.767334,0.575439,0.215332
1535263974736693,-0.183472,-0.767273,0.575562,0.215332
1535263974757748,-0.183167,-0.767151,0.575745,0.215393
1535263974781842,-0.182922,-0.767212,0.575806,0.215393
1535263974796795,-0.1828,-0.767151,0.575928,0.215393
1535263974818911,-0.182678,-0.767029,0.576111,0.215271
1535263974833952,-0.182617,-0.767273,0.575989,0.214966
1535263974856511,-0.182739,-0.767334,0.57605,0.214539
1535263974877566,-0.182861,-0.76709,0.576477,0.214111
1535263974894112,-0.183044,-0.766846,0.576904,0.213562
1535263974916678,-0.183594,-0.766541,0.577576,0.212524
1535263974937789,-0.184265,-0.76593,0.578735,0.21106
1535263974954271,-0.185242,-0.764893,0.580322,0.20929
1535263974976353,-0.186584,-0.76416,0.581604,0.207458
1535263974998890,-0.188293,-0.763733,0.582336,0.205261
1535263975014148,-0.190247,-0.763611,0.582703,0.202881
1535263975036490,-0.192505,-0.763489,0.583008,0.200317
1535263975059050,-0.194824,-0.762756,0.584106,0.197632
1535263975073589,-0.197327,-0.761841,0.585571,0.194397
1535263975096650,-0.200256,-0.761047,0.586853,0.190552
1535263975119211,-0.203186,-0.759705,0.588806,0.186768
1535263975133439,-0.206177,-0.757996,0.591187,0.182861
1535263975156308,-0.209595,-0.756531,0.593323,0.178101
1535263975178869,-0.213379,-0.755188,0.595215,0.172668
1535263975199926,-0.217407,-0.75354,0.597534,0.167114
1535263975216486,-0.221741,-0.751526,0.599915,0.161499
1535263975239030,-0.226501,-0.749512,0.602295,0.155518
1535263975260141,-0.231689,-0.747864,0.604065,0.148804
1535263975276630,-0.237,-0.746216,0.605713,0.141846
1535263975299189,-0.242371,-0.744263,0.607605,0.134888
1535263975320245,-0.247925,-0.742004,0.60968,0.127502
1535263975336838,-0.253906,-0.739746,0.611572,0.119751
1535263975358907,-0.260132,-0.737244,0.613403,0.111816
1535263975380319,-0.266724,-0.734741,0.615051,0.103516
1535263975396538,-0.273499,-0.731812,0.616943,0.0947876
1535263975419270,-0.280212,-0.728333,0.619324,0.0860596
1535263975440080,-0.286926,-0.724731,0.621704,0.0772095
1535263975464002,-0.293823,-0.720947,0.623962,0.0681763
1535263975478541,-0.30072,-0.716675,0.626465,0.05896
1535263975501602,-0.307251,-0.712036,0.629395,0.0499878
