timestamp,roll,pitch,yaw
1535263595717276,0.0562701,0.138839,2.77143
1535263595741340,0.0585633,0.134036,2.75375
1535263595756380,0.0586323,0.144643,2.73698
1535263595777938,0.0478071,0.155795,2.72081
1535263595800999,0.0404461,0.163219,2.70105
1535263595823608,0.0356796,0.17213,2.68243
1535263595838598,0.0332328,0.179624,2.66543
1535263595883718,0.0431103,0.171175,2.6484
1535263595892743,0.0518384,0.168386,2.63135
1535263595900263,0.056498,0.172697,2.61785
1535263595921320,0.0576185,0.187259,2.61234
1535263595936359,0.0444586,0.206855,2.61355
1535263595958508,0.0268744,0.230053,2.61332
1535263596002198,0.0105067,0.270889,2.61511
1535263596012225,-0.000447488,0.309109,2.6264
1535263596018748,0.00180156,0.312149,2.62632
1535263596040299,0.0198117,0.284332,2.61341
1535263596056341,0.0485771,0.237628,2.58871
1535263596077427,0.0744213,0.194162,2.57068
1535263596100517,0.0971719,0.151841,2.55167
1535263596116060,0.125526,0.116887,2.53625
1535263596145638,0.144968,0.116181,2.54534
1535263596160177,0.163043,0.140456,2.58096
1535263596176219,0.235375,0.166116,2.6382
1535263596197275,0.212886,0.158628,2.67425
1535263596220337,0.151167,0.12911,2.69863
1535263596236379,0.0393122,0.142223,2.70246
1535263596257434,-0.0556,0.157443,2.70158
1535263596280661,-0.0963244,0.175927,2.69512
1535263596296084,-0.0952139,0.185312,2.70249
1535263596318644,-0.0729058,0.192497,2.70435
1535263596342072,-0.0529419,0.196637,2.70601
1535263596356244,-0.042111,0.194107,2.70939
1535263596378934,-0.0351498,0.190085,2.71238
1535263596400884,-0.0313352,0.187629,2.71508
1535263596416494,-0.0333627,0.187928,2.71937
1535263596438527,-0.0397322,0.187951,2.72475
1535263596460579,-0.0362806,0.183661,2.7264
1535263596476086,-0.0205788,0.188388,2.72038
1535263596498644,-0.00469189,0.192073,2.7178
1535263596520201,0.0346411,0.190249,2.68264
1535263596536245,0.0475395,0.181358,2.70181
1535263596558806,0.0460989,0.163625,2.70387
1535263596580362,0.0526162,0.131,2.68823
1535263596596572,0.0626026,0.132157,2.67023
1535263596618964,0.0712699,0.107547,2.67376
1535263596641023,0.0812895,0.104281,2.66932
1535263596656063,0.100614,0.0992587,2.6658
1535263596678623,0.124162,0.0886349,2.66439
1535263596699973,0.14203,0.0715064,2.66427
1535263596716226,0.159136,0.0622229,2.66291
1535263596738784,0.170332,0.0483018,2.66605
1535263596760002,0.183953,0.0299194,2.66895
1535263596776383,0.201475,0.00762284,2.67185
1535263596798947,0.216669,-0.0189269,2.67912
1535263596819998,0.219629,-0.0375489,2.69463
1535263596836043,0.221485,-0.0542079,2.70598
1535263596858602,0.229111,-0.0730705,2.69999
1535263596879657,0.245623,-0.0954002,2.68607
1535263596896203,0.260522,-0.124446,2.68033
1535263596918763,0.268391,-0.142292,2.6755
1535263596939817,0.28071,-0.158379,2.66443
1535263596956362,0.291796,-0.1678,2.64814
1535263596985469,0.290658,-0.181284,2.63896
1535263597001482,0.288194,-0.193059,2.63155
1535263597024543,0.289448,-0.202587,2.62127
1535263597045580,0.287318,-0.205441,2.61473
1535263597061460,0.283007,-0.206371,2.61546
1535263597084229,0.290147,-0.213561,2.61203
1535263597106790,0.300779,-0.229532,2.60844
1535263597121328,0.295029,-0.233758,2.6186
1535263597144391,0.294767,-0.241629,2.62228
1535263597165468,0.300613,-0.258253,2.62086
1535263597188028,0.292852,-0.268978,2.62775
1535263597212093,0.291349,-0.27717,2.63409
1535263597218609,0.295942,-0.289852,2.63809
1535263597239665,0.295509,-0.296459,2.63719
1535263597256210,0.291095,-0.302872,2.64489
1535263597278771,0.283577,-0.307479,2.65611
1535263597301331,0.284846,-0.314586,2.66006
1535263597316372,0.29219,-0.323032,2.66477
1535263597338930,0.298124,-0.328845,2.67288
1535263597361490,0.288019,-0.32639,2.68643
1535263597376028,0.291656,-0.32505,2.68824
1535263597398606,0.290486,-0.328192,2.68987
1535263597421165,0.28175,-0.334506,2.69487
1535263597435206,0.257771,-0.331268,2.71236
1535263597466291,0.224608,-0.320079,2.73668
1535263597480636,0.165846,-0.301279,2.73695
1535263597494863,0.0506055,-0.270878,2.73251
1535263597517924,-0.0937698,-0.240929,2.72563
1535263597540568,-0.300465,-0.177913,2.73242
1535263597555086,-0.491051,-0.125147,2.75164
1535263597578196,-0.564119,-0.0760768,2.74105
1535263597600642,-0.513999,-0.0543635,2.72957
1535263597614734,-0.403894,-0.0435603,2.72646
1535263597638244,-0.285143,-0.0357665,2.72208
1535263597660330,-0.194847,-0.0327078,2.71829
1535263597674843,-0.154445,-0.0328593,2.71844
1535263597697901,-0.175337,-0.0306829,2.72039
1535263597720464,-0.219399,-0.0298439,2.72402
1535263597735119,-0.253981,-0.0324191,2.7205
1535263597758160,-0.256501,-0.0428648,2.70849
1535263597780653,-0.230616,-0.0518128,2.69516
1535263597794663,-0.190122,-0.0687952,2.68419
1535263597818222,-0.162132,-0.0869551,2.67343
1535263597840284,-0.154815,-0.114631,2.66531
1535263597854819,-0.155834,-0.138973,2.66258
1535263597877884,-0.155258,-0.155338,2.66542
1535263597900445,-0.155464,-0.173094,2.66508
1535263597916483,-0.156163,-0.192989,2.66114
1535263597937554,-0.146772,-0.212551,2.66062
1535263597960270,-0.132188,-0.228191,2.66376
1535263597974808,-0.126128,-0.240902,2.66851
1535263597997923,-0.108447,-0.248903,2.66566
1535263598020430,-0.0916005,-0.256784,2.66351
1535263598034970,-0.0798786,-0.259912,2.66409
1535263598058031,-0.0757569,-0.259362,2.66461
1535263598080615,-0.0775985,-0.258809,2.66616
1535263598094628,-0.0731185,-0.257607,2.66767
1535263598117688,-0.0683783,-0.256355,2.66693
1535263598140248,-0.071079,-0.258913,2.66701
1535263598155289,-0.0728193,-0.264745,2.66765
1535263598179353,-0.0703732,-0.275896,2.66817
1535263598200409,-0.0750754,-0.288599,2.66969
1535263598216456,-0.080589,-0.302048,2.67075
1535263598237538,-0.0837298,-0.316344,2.67153
1535263598260599,-0.0770783,-0.324745,2.66838
1535263598275109,-0.0592625,-0.325825,2.66454
1535263598297168,-0.0455946,-0.32023,2.66149
1535263598320227,-0.0411206,-0.316219,2.65678
1535263598334768,-0.0393177,-0.317188,2.64996
1535263598357444,-0.0303953,-0.313689,2.64685
1535263598388409,-0.0212867,-0.309847,2.64188
1535263598394927,-0.0197595,-0.307684,2.63664
1535263598417487,-0.0202701,-0.305847,2.63269
1535263598440654,-0.0166185,-0.305254,2.62781
1535263598454588,-0.010995,-0.304134,2.62247
1535263598477156,-0.00493807,-0.301879,2.61649
1535263598500708,0.00115438,-0.299227,2.61039
1535263598514849,0.00911679,-0.296089,2.60533
1535263598537307,0.0183834,-0.294003,2.60283
1535263598559866,0.0245052,-0.291251,2.60045
