timestamp,roll,pitch,yaw
1535263974157081,-1.82522,-0.11688,2.56778
1535263974172121,-1.82482,-0.11716,2.56812
1535263974194876,-1.82463,-0.117301,2.5686
1535263974225819,-1.82535,-0.117076,2.56915
1535263974232303,-1.82521,-0.116863,2.56973
1535263974255914,-1.82352,-0.117104,2.57018
1535263974276969,-1.82245,-0.117141,2.57082
1535263974301034,-1.82318,-0.116728,2.57148
1535263974345652,-1.82377,-0.116194,2.57195
1535263974354676,-1.82358,-0.116241,2.5725
1535263974355692,-1.82306,-0.116025,2.57296
1535263974368714,-1.8234,-0.115888,2.57333
1535263974390773,-1.82348,-0.115655,2.57386
1535263974408319,-1.82335,-0.115444,2.57445
1535263974430378,-1.8227,-0.115226,2.57461
1535263974482244,-1.82241,-0.114989,2.57503
1535263974483018,-1.82246,-0.115227,2.57535
1535263974490036,-1.82233,-0.115322,2.5757
1535263974510089,-1.82217,-0.115488,2.57604
1535263974525631,-1.82172,-0.115437,2.57621
1535263974556714,-1.82072,-0.115736,2.57648
1535263974577769,-1.82043,-0.116398,2.57688
1535263974593812,-1.82007,-0.116914,2.57699
1535263974616449,-1.81981,-0.117599,2.57735
1535263974637428,-1.82003,-0.118075,2.57766
1535263974654013,-1.82027,-0.118362,2.57801
1535263974676671,-1.81971,-0.118713,2.57821
1535263974697590,-1.81995,-0.119095,2.5785
1535263974714132,-1.82022,-0.119311,2.57885
1535263974736693,-1.81986,-0.119523,2.5792
1535263974757748,-1.81927,-0.11985,2.57953
1535263974781842,-1.81926,-0.120138,2.57999
1535263974796795,-1.81897,-0.120208,2.58017
1535263974818911,-1.81851,-0.12004,2.58045
1535263974833952,-1.81921,-0.11979,2.58104
1535263974856511,-1.81946,-0.118992,2.58144
1535263974877566,-1.81875,-0.117928,2.58175
1535263974894112,-1.81809,-0.116604,2.58209
1535263974916678,-1.81744,-0.113985,2.58258
1535263974937789,-1.8159,-0.110256,2.58335
1535263974954271,-1.81326,-0.105363,2.58385
1535263974976353,-1.81181,-0.100194,2.58408
1535263974998890,-1.81167,-0.0943693,2.58413
1535263975014148,-1.81267,-0.0882442,2.58412
1535263975036490,-1.81393,-0.0815066,2.58384
1535263975059050,-1.81333,-0.0739611,2.58354
1535263975073589,-1.81232,-0.0651475,2.58366
1535263975096650,-1.81208,-0.0550235,2.58386
1535263975119211,-1.81018,-0.0445167,2.58396
1535263975133439,-1.80726,-0.0334446,2.5841
1535263975156308,-1.80553,-0.020764,2.58468
1535263975178869,-1.80462,-0.00678175,2.58546
1535263975199926,-1.80305,0.00796201,2.58615
1535263975216486,-1.80082,0.0233117,2.58622
1535263975239030,-1.79909,0.0397273,2.58621
1535263975260141,-1.7991,0.0573726,2.58633
1535263975276630,-1.79944,0.075484,2.58649
1535263975299189,-1.7991,0.0938853,2.58657
1535263975320245,-1.79827,0.113337,2.5868
1535263975336838,-1.79813,0.133792,2.58678
1535263975358907,-1.79784,0.154878,2.58643
1535263975380319,-1.79825,0.176904,2.58591
1535263975396538,-1.79795,0.200065,2.58555
1535263975419270,-1.79625,0.223583,2.5854
1535263975440080,-1.79453,0.247369,2.58544
1535263975464002,-1.79287,0.271697,2.58531
1535263975478541,-1.79017,0.296601,2.58538
1535263975501602,-1.78617,0.321066,2.58607
1535263975524162,-1.77918,0.346278,2.58681
1535263975538200,-1.77259,0.373516,2.58795
1535263975561763,-1.7684,0.401413,2.58961
1535263975583835,-1.76561,0.429441,2.59132
1535263975598432,-1.7609,0.456754,2.59347
1535263975621428,-1.75462,0.483706,2.59606
1535263975643982,-1.7504,0.51149,2.59914
1535263975665188,-1.74771,0.538874,2.60237
1535263975681581,-1.74353,0.565786,2.60535
1535263975704293,-1.73782,0.591621,2.6082
1535263975725256,-1.73307,0.616641,2.611
1535263975741742,-1.72951,0.641438,2.61484
1535263975764258,-1.72605,0.666995,2.61905
1535263975785358,-1.72247,0.692472,2.6238
1535263975801508,-1.71893,0.716876,2.62804
1535263975823961,-1.71328,0.740105,2.63184
1535263975845026,-1.70747,0.763854,2.63613
1535263975852034,-1.70088,0.788107,2.64191
1535263975867103,-1.69418,0.812082,2.64754
1535263975892142,-1.6873,0.834171,2.65375
1535263975913383,-1.67952,0.855261,2.66056
1535263975926733,-1.67086,0.874931,2.66702
1535263975949294,-1.66183,0.894025,2.67417
1535263975971881,-1.65408,0.911572,2.68236
1535263975986893,-1.64601,0.928049,2.69019
1535263976009454,-1.63949,0.94356,2.69639
1535263976033523,-1.63438,0.960273,2.70321
1535263976047054,-1.63007,0.974958,2.70918
1535263976069636,-1.61593,0.985812,2.72544
1535263976092176,-1.61662,1.00263,2.72648
1535263976107214,-1.60521,1.01446,2.74072
1535263976129271,-1.59739,1.02755,2.75091
1535263976152044,-1.58908,1.03947,2.76063
1535263976169880,-1.57982,1.05242,2.77089
1535263976189485,-1.57054,1.06621,2.7822
1535263976212021,-1.5604,1.07898,2.7949
1535263976227086,-1.54968,1.09064,2.80732
1535263976249646,-1.538,1.10189,2.81983
1535263976274790,-1.52577,1.11275,2.83341
1535263976287194,-1.51205,1.12331,2.84847
1535263976312307,-1.49849,1.13343,2.86353
1535263976331816,-1.48353,1.14257,2.88004
1535263976349862,-1.46927,1.15158,2.8959
1535263976369411,-1.45598,1.16068,2.91092
1535263976391972,-1.44151,1.16884,2.927
1535263976407013,-1.42673,1.17668,2.94324
1535263976429577,-1.41273,1.18455,2.95957
1535263976452134,-1.39897,1.19139,2.97554
1535263976467220,-1.38448,1.19808,2.9918
1535263976489732,-1.36945,1.20422,3.00823
1535263976520859,-1.35427,1.21038,3.02454
1535263976526830,-1.33871,1.21659,3.04166
1535263976552400,-1.32387,1.22117,3.05726
1535263976571950,-1.30848,1.2252,3.07293
1535263976587018,-1.29325,1.22957,3.08964
1535263976609602,-1.27852,1.23278,3.10673
1535263976627609,-1.26658,1.23545,3.11973
1535263976647152,-1.25657,1.23772,3.1297
1535263976677230,-1.24992,1.23989,3.1372
1535263976691798,-1.24652,1.24084,-3.14127
1535263976706810,-1.24699,1.24146,3.14156
1535263976729418,-1.2487,1.24096,3.13922
1535263976747416,-1.25327,1.23929,3.13522
1535263976766969,-1.26112,1.23574,3.12758
1535263976792537,-1.27133,1.23128,3.11587
1535263976807579,-1.28104,1.22737,3.10453
1535263976827129,-1.2909,1.22239,3.09385
1535263976849688,-1.30266,1.21652,3.08156
1535263976871749,-1.31614,1.21022,3.06697
1535263976886787,-1.32828,1.20344,3.05288
1535263976909467,-1.34206,1.19687,3.03893
1535263976931907,-1.35753,1.18954,3.02393
1535263976946947,-1.37244,1.1809,3.00818
1535263976969715,-1.38741,1.17124,2.99192
1535263977000089,-1.40208,1.1602,2.97647
1535263977008611,-1.41743,1.1479,2.96116
1535263977029667,-1.43248,1.13517,2.94566
1535263977052231,-1.44772,1.12179,2.93019
1535263977068271,-1.46252,1.10815,2.91604
1535263977089380,-1.47738,1.09371,2.90132
1535263977111940,-1.49156,1.07914,2.88655
1535263977128432,-1.50393,1.06404,2.87274
1535263977149488,-1.51534,1.04924,2.8605
1535263977172051,-1.52663,1.03541,2.8501
1535263977188592,-1.53704,1.02141,2.84106
1535263977209647,-1.54614,1.0068,2.83195
1535263977232206,-1.55289,0.992794,2.82315
1535263977248261,-1.55933,0.980133,2.81553
1535263977269308,-1.5661,0.968549,2.80988
1535263977291917,-1.5726,0.956638,2.80435
1535263977316027,-1.57752,0.944776,2.79845
1535263977329629,-1.58114,0.933689,2.79279
1535263977352165,-1.58544,0.923598,2.78792
1535263977370171,-1.59095,0.913156,2.78279
1535263977389723,-1.59563,0.90267,2.77696
1535263977419302,-1.59919,0.891561,2.77048
1535263977429832,-1.60314,0.880518,2.76464
1535263977449427,-1.60778,0.869792,2.7592
1535263977472062,-1.61269,0.858343,2.75348
1535263977490032,-1.61709,0.8453,2.74726
1535263977509616,-1.62155,0.831512,2.74082
1535263977532220,-1.6265,0.818439,2.73464
1535263977556165,-1.63226,0.80514,2.7287
1535263977569723,-1.63801,0.791245,2.72313
1535263977593264,-1.64305,0.776592,2.71715
1535263977609809,-1.64786,0.762134,2.71085
1535263977629627,-1.65208,0.74838,2.70544
1535263977652053,-1.65662,0.734145,2.69997
1535263977670002,-1.66143,0.719729,2.69453
1535263977689571,-1.66661,0.705204,2.68906
1535263977712132,-1.67084,0.689681,2.68368
1535263977737709,-1.67442,0.673584,2.67928
1535263977752694,-1.67858,0.657272,2.67611
1535263977780763,-1.6836,0.640134,2.67263
1535263977789787,-1.68768,0.622678,2.66905
1535263977817029,-1.69054,0.605562,2.6659
1535263977832252,-1.69326,0.588908,2.66303
1535263977857468,-1.69652,0.572015,2.66043
1535263977872509,-1.6979,0.554611,2.65834
1535263977892059,-1.69911,0.537986,2.65687
1535263977910110,-1.70222,0.521977,2.65508
1535263977931194,-1.70522,0.505619,2.65333
1535263977952218,-1.7078,0.489363,2.65131
1535263977970269,-1.70855,0.473869,2.64948
1535263977990821,-1.71041,0.459281,2.64842
1535263978011928,-1.71341,0.444536,2.64693
1535263978029976,-1.71543,0.429276,2.64527
1535263978050983,-1.71626,0.413823,2.64339
1535263978072037,-1.71818,0.399303,2.64191
1535263978090124,-1.72121,0.385294,2.64076
1535263978111156,-1.72296,0.370685,2.63958
1535263978131746,-1.72332,0.355958,2.63788
1535263978149745,-1.7237,0.341502,2.6362
1535263978170800,-1.72585,0.327651,2.63511
1535263978191907,-1.72843,0.313459,2.63464
1535263978209956,-1.73044,0.298849,2.6336
1535263978230960,-1.73153,0.284089,2.63218
1535263978252067,-1.73194,0.269537,2.63104
1535263978270068,-1.73271,0.254983,2.62973
1535263978292644,-1.73335,0.239837,2.62888
1535263978312176,-1.73428,0.224642,2.62802
1535263978329723,-1.73597,0.209716,2.62726
1535263978352286,-1.73858,0.194908,2.62698
1535263978371887,-1.74032,0.179973,2.6262
1535263978389884,-1.74072,0.164746,2.62501
1535263978412494,-1.74148,0.14983,2.62443
1535263978431994,-1.74457,0.135705,2.62436
1535263978450044,-1.74697,0.121548,2.62383
1535263978471600,-1.74701,0.107274,2.62313
1535263978494161,-1.74734,0.0937127,2.62308
1535263978509252,-1.75015,0.0808917,2.62356
1535263978531820,-1.75593,0.0690341,2.62341
1535263978552847,-1.76109,0.0571486,2.62316
1535263978568860,-1.76376,0.0455043,2.62319
1535263978591425,-1.76548,0.0339678,2.6229
1535263978612977,-1.76619,0.0225241,2.62238
1535263978629210,-1.76443,0.0111797,2.62186
1535263978651580,-1.76349,0.000297219,2.62186
1535263978672636,-1.76457,-0.0101722,2.62231
1535263978689180,-1.76531,-0.0205149,2.62228
1535263978711739,-1.76447,-0.0307273,2.62186
1535263978732801,-1.76348,-0.0410401,2.62206
1535263978749343,-1.76472,-0.0502933,2.62253
1535263978771405,-1.76705,-0.0586819,2.62298
1535263978792956,-1.76758,-0.0668971,2.623
1535263978808999,-1.76769,-0.0743681,2.62305
1535263978831754,-1.76837,-0.08106,2.62327
1535263978852624,-1.76944,-0.0868775,2.6236
1535263978869165,-1.77037,-0.0919804,2.62365
1535263978891720,-1.77123,-0.0960128,2.62402
1535263978912774,-1.77189,-0.0994982,2.62419
1535263978929318,-1.77249,-0.102139,2.62446
1535263978951455,-1.77284,-0.104098,2.62469
1535263978979952,-1.77316,-0.105232,2.62486
1535263978988979,-1.7734,-0.105916,2.62499
1535263979011540,-1.77369,-0.106039,2.62531
1535263979032675,-1.77433,-0.105655,2.62547
1535263979049145,-1.77507,-0.105051,2.62548
1535263979071697,-1.77541,-0.104038,2.62575
1535263979092797,-1.77573,-0.103098,2.626
1535263979109297,-1.77595,-0.101799,2.62614
1535263979131621,-1.77575,-0.100558,2.6263
