timestamp,x,y,z
1535264504799243,-0.0625,0.25,-1.5625
1535264504820772,1.4375,-1.5625,-1.6875
1535264504843391,4.9375,-2.375,-2.5
1535264504858600,0.9375,-3.6875,-1.5
1535264504882002,4.0625,-4.625,-1.6875
1535264504903506,7.4375,-4.8125,-0.3125
1535264504926053,-2.1875,-5.3125,2.3125
1535264504970672,-5.9375,-7.5,2.75
1535264504980198,5.5,-7.8125,-0.5
1535264504988720,8.125,-6.3125,1.125
1535264504998746,-2.625,-6.125,2.625
1535264505015791,-5.25,-5.1875,3.8125
1535264505032335,0,-3.3125,3.0625
1535264505058906,4.0625,-5.3125,3.6875
1535264505083472,5.625,-7.5625,5.25
1535264505095700,-3.1875,-5.25,5.25
1535264505114053,-6.5625,-0.6875,4.6875
1535264505136612,2.5625,1.8125,3.875
1535264505150650,9.5625,4,3.8125
1535264505173211,8.3125,6.375,6.3125
1535264505195935,4.25,5.75,4.875
1535264505210903,-1.1875,3.25,0.5
1535264505233373,-1.125,1.3125,-2.0625
1535264505255930,-0.8125,-1.6875,-2.6875
1535264505277988,-2.625,-4.6875,-3.875
1535264505293029,3.5625,-4.125,-3.8125
1535264505315589,8.5625,-4,-3.1875
1535264505330784,2.1875,-4.8125,-1.75
1535264505353277,-0.5625,-4.8125,-1.3125
1535264505375749,1.0625,-3.875,-2.4375
1535264505390789,-1.1875,-3.3125,-2.5
1535264505413349,-2.25,-3.25,-0.6875
1535264505435944,-0.8125,-2.875,-0.625
1535264505450949,3.125,-3.75,-1.5
1535264505473010,6.375,-5.25,-3.0625
1535264505504592,6,-4.375,-2.4375
1535264505510608,0.625,-3.3125,-2.4375
1535264505533168,0.4375,-4.125,-2.4375
1535264505555764,2.75,-3.75,-1.6875
1535264505570767,-1.6875,-1.875,-2.25
1535264505593339,-4.0625,-0.75,-2.4375
1535264505615947,-2.3125,-0.625,-2.25
1535264505630987,2.125,0.625,-2.6875
1535264505653045,3.125,1.9375,-2.625
1535264505675615,0.4375,1.6875,-2.5625
1535264505690671,-1.8125,0.625,-3.3125
1535264505713231,-1.125,0.3125,-3.25
1535264505735839,0.5,0.5,-2.875
1535264505753839,-1.6875,-0.5,-1.3125
1535264505773391,-1.1875,-0.8125,-0.0625
1535264505795950,0.125,0.6875,1.125
1535264505818010,-0.3125,2.0625,2.625
1535264505833077,0.625,3.0625,2.8125
1535264505855609,-1.8125,4.5625,2.9375
1535264505870779,-6.8125,4.625,1.8125
1535264505893209,-3.3125,3.375,0
1535264505915957,0.5,2.5,-0.0625
1535264505930911,-3.1875,2.5625,1.9375
1535264505953391,-5.375,2.5625,2.8125
1535264505975947,-3,2,2.9375
1535264505990547,0,2.125,2.4375
1535264506013046,-3.125,2.1875,1.9375
1535264506036125,-6.0625,1,2.4375
1535264506050920,-4.4375,0.8125,2.5
1535264506073207,-7.9375,1.5,1.75
1535264506095766,-9.75,1.5,1.5625
1535264506113814,-9.875,1.375,2.1875
1535264506134871,-11.1875,1.3125,1.8125
1535264506155926,-15.375,1.8125,1.625
1535264506179489,-19.125,1.75,1
1535264506194528,-20.875,1.6875,2
1535264506215585,-18.3125,1.4375,2.3125
1535264506238350,-15.375,1.875,2.75
1535264506254690,-13.5,2.3125,2.8125
1535264506278836,-11.6875,1.625,3.4375
1535264506293795,-8.625,-0.25,4
1535264506314850,-3.5,-0.75,3.25
1535264506338411,-1.875,0.4375,1.875
1535264506353452,-2.0625,0,0.375
1535264506374671,-1.125,-1.1875,-1.3125
1535264506395942,-1.5625,-1.25,-2.125
1535264506413612,-1.8125,0.375,-2.625
1535264506434671,-1.9375,0.125,-1.75
1535264506455724,-2,0.75,-1.0625
1535264506473886,-4,0,-0.8125
1535264506496331,-1.3125,-0.75,-1.3125
1535264506515884,1.375,-0.125,-1.75
1535264506533932,-0.1875,-0.0625,-1.5625
1535264506555991,-5.3125,-0.8125,-2.0625
1535264506583062,-3,-0.125,-2.375
1535264506593590,0.3125,-0.4375,-1.8125
1535264506616818,-3.8125,-0.75,-0.4375
1535264506635913,-0.8125,-0.375,0.25
1535264506654252,1.5,0.75,2.25
1535264506676310,4.375,0.5,3.5625
1535264506698872,6.75,0.5,5.5
1535264506713410,4.375,1.3125,7.5
1535264506735969,1.6875,3,8.4375
1535264506755816,4.0625,4.875,9.8125
1535264506781111,-0.5625,5.5,11.5
1535264506796293,-6.375,5.6875,11.5
1535264506815701,-6.75,4.9375,9.625
1535264506833751,-4.25,4.0625,7.8125
