timestamp,x,y,z
1535252732432002,3.125,-0.9375,-8.625
1535252732446596,5.1875,-0.1875,-8.9375
1535252732469717,2.875,0.25,-6.375
1535252732492897,-1,1.0625,-3.25
1535252732507892,-0.5625,1.875,-1.125
1535252732529816,1.25,2.6875,-0.5
1535252732552878,1.625,3.0625,-0.25
1535252732599001,-0.5,2.8125,-0.375
1535252732601083,0.1875,2.5625,-0.5
1535252732613039,2.75,2.9375,-0.8125
1535252732631183,1,2.375,-0.5625
1535252732651226,-0.5,1.5,0.0625
1535252732684228,2.0625,0.625,-0.0625
1535252732724334,2.5625,0.0625,-0.5625
1535252732734361,1.9375,0.3125,-0.625
1535252732748746,1.875,0.25,-0.3125
1535252732749401,1.5,-0.25,0.375
1535252732769454,4.1875,-0.375,-0.0625
1535252732791643,6.3125,0.0625,0.25
1535252732809731,3.625,1.5,1.1875
1535252732829615,1.1875,1.1875,1.5
1535252732851673,2.25,0.8125,1.4375
1535252732869721,2.875,1.0625,0.875
1535252732889355,0.9375,1.6875,1.25
1535252732911877,-1.3125,1.5,1.5625
1535252732929882,-1.75,1.75,0.125
1535252732957191,-1.75,1.4375,-1.125
1535252732971993,-4.0625,0.875,-2.8125
1535252732990041,-3.875,-0.125,-4.0625
1535252733009118,-1.5625,-1.0625,-4.8125
1535252733032172,-2.125,-1.75,-3.6875
1535252733049333,-2.25,-2.125,-2.25
1535252733069251,0.4375,-2.125,-1.1875
1535252733092103,0.375,-2.25,-0.375
1535252733109358,-0.375,-2.25,-0.0625
1535252733129436,-0.4375,-1.625,-0.5
1535252733151471,1,-1.25,-1.875
1535252733169518,0.9375,-0.5,-2.6875
1535252733190857,2.5,1.0625,-2.5625
1535252733211632,1.875,1.8125,-2.0625
1535252733234743,1,2.4375,-0.3125
1535252733251786,3,3,0.625
1535252733271791,2.75,3.0625,1.1875
1535252733289839,2.375,3.875,2.0625
1535252733316911,3.625,5.5,1.5625
1535252733331953,2.9375,5.4375,1.3125
1535252733349999,5.0625,5.0625,1
1535252733371126,0.8125,4.6875,3.375
1535252733392111,0,5.4375,2.6875
1535252733409157,2.375,5.5625,3.5625
1535252733430930,6.125,4.6875,4.1875
1535252733451272,7.25,4.1875,2.0625
1535252733469316,4.4375,3.875,2.3125
1535252733491250,4.875,2.875,3.8125
1535252733511544,4.25,3.0625,5.25
1535252733529476,1.0625,4.375,6.25
1535252733552538,-1,3.25,6.5625
1535252733571590,0.375,2.4375,5.25
1535252733589637,-1.8125,2.625,7.125
1535252733611696,-0.25,2,7.625
1535252733631862,-1.6875,1.625,9.8125
1535252733649798,-2.3125,3.875,14.875
1535252733671855,-4.4375,4.875,18.9375
1535252733692013,-4.125,5.1875,21.6875
1535252733714973,-4.3125,6.625,22.875
1535252733731016,-4,6.125,22.3125
1535252733754075,-7.1875,6.25,24.1875
1535252733775130,-7.4375,7.125,23.8125
1535252733792175,-6.25,6.625,24.6875
1535252733814355,-3.1875,6.625,25.4375
1535252733835290,-1.875,6.875,24.6875
1535252733850795,-2.125,6.5625,25.6875
1535252733873397,-1.9375,6.1875,27.875
1535252733894448,-3.4375,6.125,29.6875
1535252733910491,-3.5625,5.5625,29.875
1535252733933728,-0.0625,6.3125,30.0625
1535252733954692,-0.375,5.875,30.8125
1535252733970651,0.5,5.3125,31.375
1535252734001856,3.375,5.4375,32.375
1535252734014773,1.9375,7.75,33.125
1535252734031088,-1.25,9.9375,36.125
1535252734053873,-2.5625,9.4375,38.0625
1535252734077018,-0.375,7.8125,37.625
1535252734098072,2.1875,8.375,35.875
1535252734114093,3.5,8,34.5
1535252734136144,3.125,7.625,35.6875
1535252734157249,-0.0625,7.6875,38.125
1535252734174197,0.25,7.3125,38.375
1535252734197257,2.6875,6.4375,37.25
1535252734217313,0.0625,7.375,37.625
1535252734234465,-1.1875,7.4375,39
1535252734256414,-0.3125,8.125,38.75
1535252734277471,-2.125,8.8125,37.6875
1535252734293845,-4.1875,8.75,36.625
1535252734316572,-0.875,7.875,37
1535252734338677,0.875,7.625,37.625
1535252734353672,-0.5625,7.6875,36.75
1535252734376738,1.5625,8.3125,36.4375
1535252734397890,1.25,9.1875,38.3125
1535252734413836,1.1875,8.9375,40.9375
1535252734436898,2.4375,8.4375,40.6875
1535252734457949,1.5,9.0625,40
1535252734473989,-0.9375,9.25,40.375
1535252734496049,0.9375,7.5625,39.625
1535252734517104,5,6.9375,38.9375
1535252734534150,4.5625,6.8125,38.6875
1535252734556208,1.625,8.25,38.125
1535252734577264,0.6875,8.5,36.75
1535252734594310,-1.5,9.4375,37.0625
1535252734616368,-3.25,9.5625,36.75
1535252734637426,0.125,9.6875,36.4375
1535252734653572,-2,9.375,36.1875
1535252734676529,-5.125,9.4375,36.0625
1535252734697785,-4.5,9.4375,35.75
1535252734713991,-0.0625,8.8125,35.6875
1535252734736690,1,8.75,36.8125
1535252734757743,1.375,8.25,35.875
1535252734772873,-0.625,6.25,35.625
1535252734796850,1.3125,8.0625,36.5625
1535252734817904,0.25,8.25,37.8125
1535252734832967,-1.0625,6.625,36.25
1535252734856057,-2.4375,7.625,34.9375
1535252734877065,3.4375,8.3125,37.3125
1535252734900206,1.0625,6.0625,37.375
1535252734916288,-5.375,4.125,36.4375
1535252734937225,-1.875,4.375,36.5625
1535252734953284,3.1875,4.75,35.9375
1535252734976330,5,3.6875,35.75
1535252735006414,1,2.125,34.9375
1535252735013426,-4.6875,1.1875,35.25
1535252735036646,-0.125,2.125,38.1875
1535252735058597,4.6875,2.3125,36.875
1535252735073586,3.25,2.25,35.1875
1535252735096647,0,1.3125,35.1875
1535252735118707,-2.5,0.625,37.375
1535252735139924,2,1.125,39.0625
1535252735156807,3.4375,1.5625,38.8125
1535252735178866,2.5625,1.125,38.9375
1535252735200028,-2.0625,-2,41.375
1535252735216973,-4.1875,-2.375,45.75
1535252735239027,-1.125,-1.5,48.625
1535252735261272,-1.125,-1.5625,48.625
1535252735276348,0.3125,-0.1875,46.8125
1535252735306205,3.125,1.125,44.375
1535252735327296,2.0625,2.875,42.3125
1535252735336287,3.625,2.625,38.75
1535252735359357,3.75,2,37.6875
1535252735380402,2.6875,0.3125,35.4375
1535252735396684,-0.3125,-0.875,35.1875
1535252735418595,-0.8125,0.375,35.25
1535252735447732,1.4375,1.4375,33.5625
1535252735458301,2,1.9375,31.1875
1535252735479014,0.3125,2.3125,31.4375
1535252735500726,-1.5,1.9375,29.75
1535252735516768,0.6875,1.1875,27.4375
1535252735538826,-2.125,1,27.125
1535252735559882,-4.3125,1.0625,26.3125
1535252735575922,-1.625,1.1875,24.125
1535252735598984,0.0625,-0.0625,22.1875
1535252735620108,0.6875,-1.3125,20.875
1535252735636187,-2.375,-3.625,20.4375
1535252735659146,-4.4375,-5.375,19.875
1535252735680274,-0.0625,-4,19.375
1535252735696246,-0.125,-4.1875,18.5
1535252735719305,-3.8125,-5.9375,18.3125
1535252735741363,-3.0625,-6,20.0625
1535252735755806,0.125,-4.8125,18.8125
1535252735778626,-0.5,-4.4375,17.6875
1535252735799598,2.25,-5.125,16.8125
1535252735815565,0.6875,-6,16.25
1535252735838729,-3.25,-7.125,15.5625
1535252735859719,-2.1875,-5.375,14.75
1535252735876729,4.75,-3.6875,13.1875
1535252735898783,4.625,-4.75,11.5625
1535252735919840,2.0625,-7.3125,12.125
1535252735935882,-1,-9,13
1535252735958941,-2.5625,-9.25,12.125
1535252735981835,0.625,-7.5625,10.4375
1535252735996039,3,-6,11
1535252736019102,-1,-6.5625,11.25
1535252736041327,-3.6875,-6.25,11.75
1535252736056202,-1.375,-3.125,14.1875
1535252736079263,-1.8125,-2.8125,15
1535252736101324,-1.9375,-1.6875,15.875
1535252736115393,-1.625,0.375,17.1875
1535252736138606,-0.6875,0.9375,18
1535252736161591,0.4375,0,19.375
1535252736175585,-0.8125,-0.9375,19.625
1535252736198614,0.375,-1.4375,19.375
1535252736221762,0.625,-3.0625,18.3125
1535252736235736,-0.3125,-5.4375,15.375
1535252736258739,2.25,-4.3125,12.375
1535252736280979,4.9375,-3.5625,10.5
1535252736295850,1.75,-4.875,8.875
1535252736318909,-2.1875,-4.375,8.5
1535252736341961,-0.4375,-2.8125,6.9375
1535252736356000,0.0625,-2.9375,4.3125
1535252736379062,-3.1875,-3.125,2.625
1535252736401252,-1.75,-3.25,1.8125
1535252736422239,1.5,-3.875,1.3125
1535252736439222,-1.1875,-5.25,2.5625
1535252736461504,-4.1875,-5.375,3.1875
1535252736482338,-0.625,-3.9375,3.3125
1535252736498379,1.8125,-3.125,3
1535252736521438,-0.375,-3.375,2.5
1535252736542595,-2,-1.4375,2.25
1535252736564553,-1,-0.1875,0.75
1535252736581597,0,0,-1.375
1535252736609778,-1.375,0.75,-3.1875
1535252736626729,1.4375,1.6875,-6.1875
1535252736641762,3.375,1.1875,-10.625
1535252736662855,2.5,0.75,-13.8125
1535252736679018,1.9375,1.8125,-16.625
1535252736701924,3.3125,1,-18.8125
1535252736723030,0.3125,-0.1875,-18
1535252736739175,-0.25,1.3125,-19
1535252736762081,6.8125,5.5,-21.25
1535252736782137,9.0625,6.0625,-22.3125
1535252736798177,1,3.375,-20.9375
1535252736821295,-5.5,1.0625,-20.3125
1535252736844309,-1.125,1.6875,-20
1535252736858602,3.125,2.875,-19.625
1535252736887898,1.9375,3.5,-19.0625
1535252736904472,0.75,2.625,-17.6875
1535252736925797,-2.4375,1.8125,-16.6875
1535252736941562,-1.9375,1.1875,-16.3125
1535252736963976,1,1.625,-17.5
1535252736978658,1.75,-0.125,-20.8125
1535252737001718,-0.75,-1.0625,-21.6875
1535252737023774,-3.5,-0.75,-20.125
1535252737044832,-1.375,1.875,-21.4375
1535252737061878,4.875,3.0625,-23.375
1535252737083936,1.625,1.125,-22.5625
1535252737105116,-4.5,-0.5,-20.5625
1535252737121043,-4.6875,-0.6875,-19.625
1535252737144096,0.5625,0,-20.75
1535252737165157,4.4375,-1.3125,-23.1875
1535252737181195,1.6875,-1.25,-23.75
1535252737204257,0.0625,-1.5,-24.3125
1535252737225313,1.5625,-2.6875,-25
1535252737241703,-0.9375,-3.9375,-27.375
1535252737263498,-3,-2.375,-28.125
1535252737284473,-4.25,-1.375,-26.8125
1535252737301569,-1.1875,0,-25
1535252737323620,-0.0625,-0.4375,-24.375
1535252737345632,-1.1875,-1.3125,-24.125
1535252737361673,-3.375,-1.6875,-23.4375
1535252737383734,-3.6875,-1,-22.9375
1535252737404792,0.875,-0.25,-24.6875
1535252737420830,1.8125,-0.5625,-26.5
1535252737443892,0.6875,0.0625,-26.75
1535252737464948,0.25,0,-27.0625
1535252737481005,-1.6875,-0.1875,-26.4375
1535252737504055,-4.8125,-1.25,-24.8125
1535252737525215,-6.6875,-3.125,-23.375
1535252737541200,-4.75,-3.0625,-23.125
1535252737564212,-0.875,-2.8125,-23.125
1535252737585378,0.4375,-1.8125,-22.8125
1535252737600415,0.1875,-1,-21.6875
1535252737624378,-1.9375,-0.875,-21.0625
1535252737646431,-2.9375,-1.25,-20.875
1535252737660473,-5.0625,-2.125,-20.75
1535252737684281,-4.6875,-1.375,-19.375
1535252737712713,-1.4375,0.8125,-19.5625
1535252737720666,0.625,1.5,-20.5
1535252737743756,-0.125,1.5,-19.5
1535252737764910,-2.8125,1,-17.625
1535252737780812,-3.4375,2.0625,-17.125
1535252737803854,1.4375,3.9375,-17.875
1535252737824913,3.6875,4.4375,-19.875
1535252737840952,2.8125,2.5,-19.75
1535252737864026,-2.75,0.375,-19.25
1535252737886071,-4.0625,-0.8125,-19.9375
1535252737901112,-1.25,-1.5625,-23.125
1535252737924173,0.75,-1.6875,-25.5625
1535252737952622,-1,-1.125,-25.25
1535252737967290,-5.375,-1.625,-25.75
1535252737984338,-5.5,-1.9375,-27.4375
1535252738006393,-2,-1.0625,-29.375
1535252738035514,-1.1875,-1.5625,-31.0625
1535252738043498,-3.3125,-2.375,-30.75
1535252738066551,-3.4375,-1.875,-30.75
1535252738087607,-1.125,-0.4375,-32.9375
1535252738103839,1.875,0.25,-35.1875
1535252738126714,-2.0625,-0.375,-36.375
1535252738147764,-7.25,-0.875,-35.5
1535252738164243,-4.375,-0.4375,-35.3125
1535252738186873,0.125,0.4375,-37.4375
1535252738207974,1.1875,0.5625,-37.8125
1535252738223972,-2.3125,-0.75,-35.3125
1535252738246086,-1.125,-1.5625,-33
1535252738267094,0.125,-2.625,-32.25
1535252738291237,-5.375,-2.75,-31.6875
1535252738314210,-7.9375,-2.0625,-29.5
1535252738328247,-1,-1,-28.25
1535252738344289,1.9375,-3.125,-28.375
1535252738366633,-3.125,-4.8125,-27.25
1535252738387650,-7.125,-4.6875,-24.875
1535252738403530,-1.125,-3.875,-24.4375
1535252738426635,2.4375,-5.0625,-26.3125
1535252738447564,-0.625,-5.0625,-25
1535252738463660,-3.6875,-5.75,-22.6875
1535252738486955,-2.4375,-5.625,-23.125
1535252738507754,1,-4.6875,-24.4375
1535252738523784,1.375,-4.3125,-23.1875
1535252738552890,-2.4375,-5.0625,-21.75
1535252738567885,-2.625,-4.875,-21.25
1535252738582924,0.8125,-3.75,-22.875
1535252738606992,0.1875,-3.5625,-24
1535252738628133,-3.375,-3.625,-22.9375
1535252738643086,-4.375,-3.8125,-22.4375
1535252738666145,-0.5,-4.125,-23.4375
1535252738687324,-0.25,-4.5,-25.5625
1535252738703246,-2.9375,-5,-25.25
1535252738726732,-1.625,-4.75,-24.5625
1535252738747360,0.875,-4.9375,-27.4375
1535252738763431,-0.75,-6.375,-27.5625
1535252738786499,-4.75,-7.4375,-26.75
1535252738808567,-3.9375,-7.4375,-26.875
1535252738823563,-2.4375,-8.1875,-28.5625
1535252738846699,0.3125,-8.625,-29.4375
1535252738868683,-2.9375,-9.25,-28.3125
1535252738889883,-3.5625,-8,-28.8125
1535252738906789,-5.125,-8.3125,-28
1535252738928854,-3.5,-8.875,-26.9375
1535252738949921,-2.1875,-8.5,-26.9375
1535252738966596,0.6875,-7.625,-27.625
1535252738989006,0.625,-8,-26.5625
1535252739010174,-2.8125,-8.8125,-24.5625
1535252739026197,-2,-7.3125,-24.3125
1535252739049163,2.375,-6.375,-24.125
1535252739070359,3.875,-5.625,-23.9375
1535252739086312,-1.5,-5.9375,-23.625
1535252739109325,-3.8125,-5.8125,-22.1875
1535252739130381,-1.25,-5.125,-22.3125
1535252739146425,0.5625,-5.125,-22.3125
1535252739169486,-0.9375,-5.0625,-20.375
1535252739191556,-0.375,-4.9375,-19.375
1535252739206594,0.75,-4.9375,-19.5625
1535252739228723,0.8125,-4.875,-19.9375
1535252739234666,0.0625,-5.0625,-19.5
1535252739257153,-0.1875,-5.1875,-18.8125
1535252739271812,0.4375,-5.375,-19.1875
1535252739294880,0.5625,-4.875,-18.625
1535252739316878,0,-4.6875,-18.0625
1535252739331972,-0.75,-4.8125,-17.8125
1535252739363226,-0.9375,-4.4375,-18.3125
1535252739372130,-0.5625,-4.125,-18.25
1535252739392366,-0.0625,-4.625,-17.5625
1535252739415139,-0.8125,-4.6875,-17.625
1535252739432564,0.375,-4.4375,-18.0625
1535252739459601,-1,-4.5625,-18.1875
1535252739474411,-0.4375,-4.5625,-17.625
1535252739497413,-0.0625,-4.75,-17.9375
1535252739512397,0.25,-4.6875,-18
1535252739534454,0.1875,-4.75,-16.8125
1535252739552504,-0.25,-5,-16.875
1535252739571690,1.1875,-4.6875,-16.9375
1535252739594682,0.3125,-4.6875,-17.125
