timestamp,x,y,z,w
1535252732432002,-0.477051,-0.446228,0.448608,0.609924
1535252732446596,-0.475647,-0.446655,0.447998,0.611206
1535252732469717,-0.47467,-0.44696,0.447449,0.612122
1535252732492897,-0.474426,-0.447266,0.446838,0.612488
1535252732507892,-0.474426,-0.447266,0.446472,0.612793
1535252732529816,-0.474426,-0.446838,0.44635,0.61322
1535252732552878,-0.474548,-0.446228,0.44635,0.613525
1535252732599001,-0.474915,-0.445801,0.446167,0.613708
1535252732601083,-0.475159,-0.445496,0.445984,0.613892
1535252732613039,-0.475159,-0.445007,0.445923,0.614258
1535252732631183,-0.475403,-0.444702,0.445801,0.614441
1535252732651226,-0.475647,-0.444641,0.445618,0.614441
1535252732684228,-0.475647,-0.444458,0.445618,0.614502
1535252732724334,-0.475403,-0.444397,0.445679,0.614685
1535252732734361,-0.47522,-0.444397,0.445618,0.614868
1535252732748746,-0.475037,-0.444336,0.445679,0.615051
1535252732749401,-0.474854,-0.444153,0.445923,0.615112
1535252732769454,-0.474426,-0.443848,0.446228,0.615479
1535252732791643,-0.473755,-0.44342,0.446655,0.615906
1535252732809731,-0.473572,-0.442932,0.44696,0.616272
1535252732829615,-0.473633,-0.442505,0.447144,0.616333
1535252732851673,-0.473633,-0.442139,0.447388,0.616455
1535252732869721,-0.47345,-0.441772,0.447571,0.61676
1535252732889355,-0.473572,-0.441528,0.44751,0.616882
1535252732911877,-0.473877,-0.441406,0.447388,0.61676
1535252732929882,-0.474243,-0.441406,0.447083,0.61676
1535252732957191,-0.474426,-0.441467,0.446777,0.616821
1535252732971993,-0.474792,-0.441895,0.446106,0.616699
1535252732990041,-0.475037,-0.442505,0.445374,0.616577
1535252733009118,-0.474915,-0.443115,0.444885,0.616577
1535252733032172,-0.474915,-0.443848,0.444458,0.616394
1535252733049333,-0.474976,-0.444519,0.444153,0.616089
1535252733069251,-0.474792,-0.444824,0.444153,0.615906
1535252733092103,-0.474731,-0.445068,0.444397,0.615723
1535252733109358,-0.474609,-0.445313,0.444519,0.615479
1535252733129436,-0.474426,-0.445557,0.44458,0.615417
1535252733151471,-0.473938,-0.445618,0.444702,0.615662
1535252733169518,-0.473511,-0.44574,0.44458,0.616028
1535252733190857,-0.473022,-0.445618,0.444397,0.616577
1535252733211632,-0.472656,-0.445374,0.444214,0.617188
1535252733234743,-0.472595,-0.444946,0.444092,0.617554
