timestamp,x,y,z
1535263595717276,-19.5,8.75,-30.625
1535263595741340,17.4375,-6.375,-49.1875
1535263595756380,6.5,29.0625,-49.5
1535263595777938,-28.8125,30.875,-48.4375
1535263595800999,-15.25,16.5625,-56.8125
1535263595823608,-5.5625,22,-53.9375
1535263595838598,8.6875,8.375,-46.8125
1535263595883718,40,-28.125,-46.875
1535263595892743,29.4375,-8.875,-48.3125
1535263595900263,18.1875,5.125,-38.75
1535263595921320,-0.9375,41.625,-19.25
1535263595936359,-39.1875,55.5,0.3125
1535263595958508,-51.875,54.1875,-2.8125
1535263596002198,-34.1875,64.9375,7.3125
1535263596012225,-22.3125,77.3125,36
1535263596018748,15.125,-5.3125,2.5
1535263596040299,58.3125,-78,-35.6875
1535263596056341,100.625,-134.938,-63.875
1535263596077427,86.0625,-125.625,-42.8125
1535263596100517,72.875,-126.313,-43.25
1535263596116060,84.625,-105.813,-32.3125
1535263596145638,43,30.4375,20.625
1535263596160177,43.4375,83.9375,90.0625
1535263596176219,185.25,109.188,143.938
1535263596197275,-91.0625,-9.5,104.875
1535263596220337,-193.938,-71.8125,82.3125
1535263596236379,-324.25,44.25,6.375
1535263596257434,-265.688,43.25,-1.25
1535263596280661,-83.5,48.125,-9.3125
1535263596296084,11.3125,23.1875,25.125
1535263596318644,65.3125,20.1875,7.625
1535263596342072,54.0625,5.8125,4.1875
1535263596356244,24.875,-5.0625,8.375
1535263596378934,12.5625,-6.6875,7.3125
1535263596400884,3.1875,-3,6.25
1535263596416494,-14.375,0.875,10.8125
1535263596438527,-23.625,0.6875,14.6875
1535263596460579,10.125,2.25,4.8125
1535263596476086,46.3125,9.625,-16.875
1535263596498644,34.125,8.3125,-9.75
1535263596520201,129.5,-1.625,-99.1875
1535263596536245,14.4375,-42.125,53.1875
1535263596558806,-8.5,-31.25,6.6875
1535263596580362,39.875,-65.375,-38.8125
1535263596596572,44.625,-31.6875,-48.1875
1535263596618964,13,-44.5,11.5625
1535263596641023,35.1875,-31.1875,-9.875
1535263596656063,59.4375,-28.9375,-6.9375
1535263596678623,63.875,-30.375,-1.0625
1535263596699973,49.25,-36.25,4.3125
1535263596716226,42.3125,-41.125,1.8125
1535263596738784,31.3125,-47.5625,17.0625
1535263596760002,37.6875,-54.6875,18
1535263596776383,45.5625,-60.75,20.5
1535263596798947,39.25,-63.25,34.375
1535263596819998,16.3125,-56.5625,57.875
1535263596836043,11.8125,-55.1875,45.25
1535263596858602,25.5,-63.625,-3
1535263596879657,41.9375,-69.5625,-24.125
1535263596896203,39.8125,-65.1875,0
1535263596918763,24.9375,-53.5625,0
1535263596939817,27.1875,-55.25,-16.8125
1535263596956362,18.75,-47.5625,-33.0625
1535263596985469,-10,-44.625,-13.25
1535263597001482,-10.4375,-35.4375,-11.125
1535263597024543,-5.6875,-31.5,-20.4375
1535263597045580,-16.3125,-14.6875,-13.1875
1535263597061460,-9.25,-5.9375,3.0625
1535263597084229,15.4375,-16.8125,-4.0625
1535263597106790,14.9375,-18.4375,-2.0625
1535263597121328,-1.75,-12.5,31.3125
1535263597144391,4.4375,-15.0625,14.4375
1535263597165468,10.375,-27.625,5.625
1535263597188028,-11.125,-32.75,28.4375
1535263597212093,4,-44.0625,30.5
1535263597218609,15.8125,-35.25,22.25
1535263597239665,1.9375,-32.125,6
1535263597256210,-9.5,-7.375,25.4375
1535263597278771,-6.0625,-10.125,32.8125
1535263597301331,9.25,-17.875,15.75
1535263597316372,24.875,-14.4375,17.75
1535263597338930,16.3125,5.6875,23.75
1535263597361490,-7.4375,-3.75,36.375
1535263597376028,11.875,-12.5625,8.9375
1535263597398606,-1.6875,-14.75,8.9375
1535263597421165,-26.9375,-8.8125,19.25
1535263597435206,-60.375,24.1875,45.3125
1535263597466291,-85.1875,48.0625,60.3125
1535263597480636,-180.813,55.875,-6.375
1535263597494863,-348.688,91.9375,-18.0625
1535263597517924,-437.75,91.375,-12.5
1535263597540568,-606.625,175.375,58.4375
1535263597555086,-529.688,127,110.5
1535263597578196,-197.5,135.813,42.125
1535263597600642,153.125,77.1875,7.375
1535263597614734,321.688,39.4375,9.125
1535263597638244,340.063,26.25,-4
1535263597660330,252.938,13.3125,-7.5
1535263597674843,89.0625,16.625,4.125
1535263597697901,-67.4375,13.875,8.0625
1535263597720464,-119,-2,9.8125
1535263597735119,-60.75,-16.375,-15.4375
1535263597758160,21.4375,-23.9375,-43.0625
1535263597780653,90.4375,-29.0625,-47.5
1535263597794663,116.188,-49,-42.5625
1535263597818222,77.1875,-75.1875,-44.5
1535263597840284,18.5625,-87.5,-37.25
1535263597854819,-2.625,-79.9375,-20.6875
1535263597877884,8.0625,-77,-4.75
1535263597900445,6,-76.8125,-14.0625
1535263597916483,6.875,-64.875,-23.625
1535263597937554,34.125,-54.4375,-11.4375
1535263597960270,41.75,-48.5,2.5
1535263597974808,24.25,-43.3125,6.75
1535263597997923,49.6875,-26.1875,-11.25
1535263598020430,39.8125,-19.4375,-6.3125
1535263598034970,26.875,-8.75,2.8125
1535263598058031,2.375,-2,3.8125
1535263598080615,-4.625,-1.6875,4.25
1535263598094628,8.0625,0.125,5.75
1535263598117688,6.6875,1.0625,-0.25
1535263598140248,-10.5625,-9.5625,0.1875
1535263598155289,-5.25,-14,0.875
1535263598179353,6.0625,-22,0.1875
1535263598200409,-11,-25.625,2.0625
1535263598216456,-12,-25.75,-0.125
1535263598237538,-0.125,-22.8125,-2.5
1535263598260599,22.1875,-4.5625,-10.75
1535263598275109,49.75,11.8125,-10.375
1535263598297168,29,13,-5.25
1535263598320227,4.0625,10.0625,-11.1875
1535263598334768,0.6875,4.25,-18.875
1535263598357444,25.9375,9.375,-9.1875
1535263598388409,15.625,9.125,-11.125
1535263598394927,-2.625,5.9375,-13.5
1535263598417487,-1,4.8125,-12.0625
1535263598440654,9.3125,4.3125,-14.375
1535263598454588,14.0625,6.875,-15.125
1535263598477156,13.3125,9.5625,-16.8125
1535263598500708,11.75,9.9375,-16.6875
1535263598514849,18.25,8.0625,-13.5
1535263598537307,18.875,9,-5.5
1535263598559866,8.6875,7,-4.6875
1535263598577915,-3.3125,2.8125,-1.5625
1535263598597473,-8.0625,0.5,-2.5
1535263598620025,-8.75,-0.0625,-0.6875
1535263598634618,-9.5,1.1875,0.0625
1535263598657174,-11.9375,1.1875,0.75
1535263598679685,-7.1875,1.5,-0.75
1535263598694725,-0.375,1.4375,-2.25
