timestamp,x,y,z,w
1535253264390540,-0.16571,-0.326477,0.530823,0.764282
1535253264413100,-0.153503,-0.338989,0.503052,0.780029
1535253264428158,-0.132935,-0.350769,0.469543,0.799255
1535253264451702,-0.10675,-0.366882,0.424255,0.820984
1535253264473260,-0.0940552,-0.383301,0.393738,0.830139
1535253264488300,-0.0901489,-0.388062,0.384155,0.832886
1535253264511864,-0.0879517,-0.39032,0.381958,0.833008
1535253264533540,-0.0864868,-0.389832,0.38208,0.833374
1535253264581172,-0.081543,-0.388306,0.38031,0.835388
1535253264581562,-0.0776367,-0.385193,0.378174,0.838135
1535253264594081,-0.0744019,-0.375732,0.380127,0.841858
1535253264609122,-0.0686646,-0.360596,0.388916,0.844971
1535253264632684,-0.0603027,-0.336792,0.406921,0.846924
1535253264661317,-0.048584,-0.322876,0.414429,0.849487
1535253264672289,-0.0551758,-0.318848,0.428284,0.843689
1535253264707465,-0.0652466,-0.309875,0.434082,0.843384
1535253264713900,-0.0852661,-0.321899,0.436401,0.835815
1535253264729488,-0.108643,-0.334717,0.436035,0.828247
1535253264751500,-0.128601,-0.345764,0.436035,0.820801
1535253264773558,-0.148804,-0.355042,0.439026,0.811829
1535253264788641,-0.163757,-0.353088,0.44574,0.806091
1535253264811315,-0.170959,-0.356567,0.450562,0.800354
1535253264833797,-0.190491,-0.354675,0.462158,0.790161
1535253264848759,-0.196411,-0.350464,0.472107,0.784668
1535253264871395,-0.210266,-0.349426,0.484619,0.773804
1535253264893879,-0.218323,-0.338928,0.499512,0.766724
1535253264908919,-0.226257,-0.331726,0.514465,0.757629
1535253264931481,-0.236023,-0.322327,0.531494,0.746948
1535253264953629,-0.242126,-0.310364,0.549194,0.737122
1535253264970082,-0.253052,-0.299438,0.567627,0.723938
1535253264991493,-0.259338,-0.28656,0.584778,0.713135
1535253265013936,-0.264099,-0.277832,0.597778,0.704041
1535253265028738,-0.267334,-0.264526,0.612,0.695679
1535253265051297,-0.260742,-0.254333,0.620361,0.69458
1535253265073859,-0.271667,-0.243713,0.629395,0.686035
1535253265087896,-0.271179,-0.238953,0.635498,0.682251
1535253265111458,-0.265991,-0.232605,0.640259,0.682007
1535253265133578,-0.259216,-0.229492,0.643982,0.68219
1535253265148145,-0.254517,-0.232056,0.646301,0.680847
1535253265171117,-0.251343,-0.232239,0.649109,0.679321
1535253265193678,-0.247925,-0.229736,0.651489,0.679199
1535253265208215,-0.243896,-0.226624,0.651001,0.682129
1535253265231277,-0.248901,-0.226318,0.649963,0.681396
1535253265253838,-0.265015,-0.21814,0.657898,0.670288
1535253265267875,-0.255981,-0.239014,0.671387,0.653076
1535253265291436,-0.255005,-0.240417,0.677063,0.647095
1535253265313496,-0.26001,-0.241394,0.681335,0.640198
1535253265328034,-0.253479,-0.24176,0.68634,0.637329
1535253265351095,-0.246216,-0.247681,0.688721,0.635315
1535253265373656,-0.251343,-0.249329,0.689819,0.63147
1535253265388193,-0.258118,-0.246643,0.689941,0.6297
1535253265411368,-0.258423,-0.242859,0.6922,0.62854
1535253265433928,-0.257263,-0.241211,0.694519,0.627014
1535253265447965,-0.272095,-0.229431,0.699646,0.619507
1535253265471467,-0.297607,-0.212097,0.706482,0.606018
1535253265502110,-0.312805,-0.205322,0.731506,0.570007
1535253265508125,-0.344727,-0.20636,0.755127,0.518005
1535253265531188,-0.377258,-0.220215,0.746643,0.501648
1535253265553746,-0.375671,-0.255432,0.730957,0.509155
1535253265568285,-0.364685,-0.308167,0.717346,0.507324
1535253265591477,-0.360596,-0.350403,0.704346,0.501038
1535253265613906,-0.3078,-0.412415,0.710999,0.479187
1535253265627944,-0.312805,-0.440369,0.726746,0.424316
1535253265651507,-0.335693,-0.434631,0.736938,0.394043
1535253265673566,-0.351563,-0.440674,0.722839,0.399658
1535253265688104,-0.36615,-0.464844,0.681152,0.431152
1535253265711165,-0.365601,-0.487854,0.651184,0.451904
1535253265733726,-0.32074,-0.513733,0.631897,0.483643
1535253265748265,-0.302917,-0.524292,0.631226,0.484619
1535253265770824,-0.272766,-0.529968,0.651184,0.469788
1535253265803411,-0.252136,-0.516113,0.672485,0.466675
1535253265807923,-0.246521,-0.517517,0.665894,0.477478
1535253265839024,-0.246887,-0.513,0.660217,0.489929
1535253265853564,-0.243042,-0.509644,0.666992,0.486084
1535253265868125,-0.238342,-0.507874,0.675476,0.478516
1535253265891349,-0.240479,-0.521729,0.667236,0.47406
1535253265913921,-0.244568,-0.543518,0.647156,0.475281
1535253265928284,-0.251282,-0.549011,0.642151,0.47229
1535253265951441,-0.267944,-0.557983,0.631836,0.466614
1535253265973906,-0.283752,-0.566162,0.621155,0.461548
1535253265987944,-0.283264,-0.56781,0.622864,0.457581
1535253266010503,-0.279846,-0.560669,0.632813,0.454834
1535253266033564,-0.264282,-0.551208,0.645935,0.457214
1535253266048104,-0.244568,-0.539185,0.657043,0.466614
1535253266070665,-0.220642,-0.536194,0.655151,0.484314
1535253266093729,-0.215942,-0.535645,0.646362,0.498657
1535253266108264,-0.217163,-0.534912,0.649048,0.495422
1535253266130828,-0.224854,-0.538879,0.652344,0.483154
1535253266153886,-0.23175,-0.543884,0.649719,0.477844
1535253266167923,-0.240051,-0.546326,0.650391,0.469971
1535253266190561,-0.240967,-0.550293,0.646118,0.470764
1535253266213543,-0.238342,-0.555115,0.636108,0.479919
1535253266228167,-0.236267,-0.56311,0.621765,0.490356
1535253266250759,-0.235596,-0.564819,0.604431,0.51001
1535253266282729,-0.241638,-0.55957,0.59906,0.519226
1535253266291251,-0.256287,-0.554932,0.59906,0.517212
1535253266310881,-0.272766,-0.561279,0.592346,0.509583
1535253266333876,-0.299683,-0.565186,0.586487,0.496826
1535253266349414,-0.312744,-0.558716,0.587463,0.494934
1535253266370992,-0.314575,-0.548462,0.590576,0.501404
1535253266394024,-0.306824,-0.543762,0.590271,0.511597
1535253266409569,-0.295898,-0.552368,0.577332,0.523499
1535253266430621,-0.300171,-0.567383,0.556824,0.527161
1535253266453798,-0.305542,-0.577332,0.551636,0.518616
1535253266469727,-0.309814,-0.579712,0.554932,0.509888
1535253266490901,-0.309448,-0.579041,0.553162,0.512817
1535253266513458,-0.311218,-0.584106,0.542053,0.517822
1535253266529831,-0.317871,-0.594421,0.525879,0.518738
1535253266550943,-0.336731,-0.615295,0.488586,0.518982
1535253266573002,-0.35437,-0.640381,0.447937,0.51355
1535253266589546,-0.306641,-0.687073,0.433533,0.495911
1535253266612105,-0.328369,-0.710754,0.43042,0.449219
1535253266633165,-0.339661,-0.698181,0.448425,0.44281
1535253266649740,-0.349915,-0.678223,0.44873,0.464966
1535253266670833,-0.322021,-0.684814,0.465088,0.459351
1535253266693389,-0.299194,-0.692688,0.464661,0.46344
