timestamp,roll,pitch,yaw
1535252457917436,-1.37827,0.0825107,1.36387
1535252457941464,-1.3781,0.0818722,1.36383
1535252457956505,-1.37784,0.0813127,1.36332
1535252457977560,-1.37813,0.080973,1.36336
1535252458001624,-1.37946,0.0803617,1.36367
1535252458016664,-1.37945,0.0802989,1.36354
1535252458068802,-1.37889,0.0801342,1.36349
1535252458068802,-1.37874,0.0805357,1.36346
1535252458077827,-1.37875,0.080933,1.3636
1535252458092424,-1.3785,0.0815777,1.36373
1535252458106904,-1.3785,0.0815777,1.36373
1535252458127961,-1.3785,0.0815777,1.36373
1535252458152025,-1.37802,0.0814338,1.36376
1535252458180099,-1.37802,0.0814338,1.36376
1535252458191127,-1.37774,0.0816646,1.3636
1535252458210240,-1.37784,0.0815933,1.3637
1535252458233660,-1.37784,0.0815933,1.3637
1535252458247981,-1.37784,0.0815933,1.3637
1535252458278361,-1.37782,0.0815765,1.36355
1535252458285379,-1.37744,0.0809181,1.36356
1535252458307756,-1.37715,0.0803972,1.3634
1535252458329540,-1.37785,0.0798257,1.36347
1535252458344538,-1.37785,0.0798257,1.36347
1535252458367597,-1.37795,0.0797543,1.36357
1535252458389656,-1.37795,0.0797543,1.36357
1535252458404696,-1.37805,0.0799545,1.36355
1535252458427758,-1.37758,0.0804537,1.36345
1535252458449872,-1.37768,0.0810714,1.36342
1535252458464856,-1.37799,0.081663,1.36335
1535252458487918,-1.37798,0.0821803,1.36295
1535252458509977,-1.37824,0.0830393,1.36282
1535252458526501,-1.3786,0.0838272,1.36279
1535252458547075,-1.37907,0.0848148,1.36273
1535252458578159,-1.37917,0.0853238,1.36258
1535252458586288,-1.3783,0.0854823,1.36235
1535252458607234,-1.37796,0.0854007,1.36239
1535252458630297,-1.37796,0.0854007,1.36239
1535252458646375,-1.37799,0.0847819,1.36229
1535252458667394,-1.37815,0.0842252,1.36221
1535252458690457,-1.37826,0.0841539,1.36231
1535252458706500,-1.37825,0.0840909,1.36218
1535252458727662,-1.37837,0.0841989,1.36217
1535252458749657,-1.37837,0.0841989,1.36217
1535252458766661,-1.37837,0.0841989,1.36217
1535252458790723,-1.37837,0.0841989,1.36217
1535252458809774,-1.37847,0.0841275,1.36228
1535252458826847,-1.37917,0.0842448,1.36221
1535252458847875,-1.37914,0.0848006,1.36216
1535252458869961,-1.37891,0.0855161,1.36207
1535252458886073,-1.37929,0.086701,1.36218
1535252458907035,-1.38041,0.0882457,1.36225
1535252458930125,-1.38135,0.0904567,1.36254
1535252458948142,-1.38138,0.0930937,1.36254
1535252458967193,-1.38114,0.0966054,1.36226
1535252458990254,-1.38129,0.100505,1.36211
1535252459008302,-1.38162,0.104981,1.36188
1535252459027381,-1.38177,0.109772,1.36172
1535252459050415,-1.3816,0.114438,1.36163
1535252459067460,-1.38023,0.119072,1.36125
1535252459087515,-1.37933,0.12361,1.36081
1535252459109680,-1.37937,0.127728,1.36029
1535252459127620,-1.3798,0.131654,1.36015
1535252459147700,-1.37968,0.134905,1.36
1535252459170736,-1.37892,0.137553,1.35973
1535252459194800,-1.37763,0.13964,1.35921
1535252459210013,-1.37631,0.140989,1.35919
1535252459230894,-1.37516,0.141597,1.35909
1535252459247096,-1.37464,0.141505,1.35883
1535252459270006,-1.37435,0.140938,1.35868
1535252459291055,-1.37465,0.14004,1.35872
1535252459307098,-1.37527,0.138935,1.3587
1535252459329955,-1.37572,0.137587,1.35877
1535252459350248,-1.3762,0.136015,1.35887
1535252459367258,-1.37658,0.134464,1.35927
1535252459390319,-1.37649,0.133678,1.35983
1535252459410400,-1.37651,0.133217,1.36065
1535252459427417,-1.376,0.1326,1.36106
1535252459449515,-1.37508,0.133527,1.36144
1535252459473126,-1.37526,0.137334,1.36212
1535252459486575,-1.37706,0.143771,1.36282
1535252459509637,-1.37813,0.151625,1.36276
1535252459531697,-1.3759,0.161714,1.3623
1535252459546737,-1.37336,0.174692,1.36208
1535252459569949,-1.37209,0.190692,1.36206
1535252459591855,-1.37139,0.210284,1.36192
1535252459620931,-1.36987,0.232186,1.36167
1535252459629956,-1.3685,0.25574,1.36116
1535252459652096,-1.36686,0.281323,1.36083
1535252459673106,-1.36617,0.308745,1.3609
1535252459690117,-1.36373,0.338154,1.36149
1535252459720079,-1.3601,0.368852,1.36316
1535252459733232,-1.35637,0.400043,1.36512
1535252459749274,-1.35337,0.431711,1.36665
1535252459772336,-1.35093,0.465312,1.36835
1535252459793392,-1.3486,0.500037,1.37043
1535252459809435,-1.34556,0.53521,1.37329
1535252459832498,-1.34171,0.57195,1.37686
1535252459853551,-1.3381,0.611017,1.38129
1535252459870010,-1.33498,0.650793,1.3867
1535252459891652,-1.33125,0.689665,1.39239
1535252459912709,-1.32655,0.728101,1.39622
1535252459929754,-1.32072,0.766958,1.40106
1535252459951889,-1.31521,0.806828,1.40764
1535252459972869,-1.31095,0.845539,1.41612
1535252459989915,-1.3035,0.882454,1.42586
1535252460011973,-1.29182,0.918348,1.43848
1535252460033314,-1.27876,0.953438,1.45231
1535252460050074,-1.26722,0.985656,1.46778
1535252460073138,-1.25218,1.01604,1.48505
1535252460093219,-1.23791,1.04632,1.50174
1535252460109232,-1.2106,1.06929,1.53306
1535252460132350,-1.19769,1.09629,1.54869
1535252460153353,-1.1699,1.11775,1.57991
1535252460169392,-1.14184,1.13762,1.61181
1535252460192454,-1.11164,1.1568,1.64724
1535252460220646,-1.07696,1.17518,1.68696
1535252460228668,-1.04083,1.19192,1.73
1535252460252626,-1.00496,1.20596,1.77224
1535252460280853,-0.96582,1.2194,1.8171
1535252460288905,-0.921357,1.23225,1.86834
1535252460311798,-0.881225,1.2425,1.91633
1535252460332876,-0.843221,1.25134,1.96009
1535252460348870,-0.803712,1.25892,2.00347
1535252460372991,-0.768237,1.26515,2.04367
1535252460395042,-0.741366,1.26929,2.07411
1535252460409029,-0.721103,1.27275,2.095
1535252460432093,-0.70701,1.27506,2.108
1535252460455158,-0.704341,1.27562,2.10975
1535252460476214,-0.710786,1.27402,2.10038
1535252460492252,-0.727639,1.2709,2.07913
1535252460515056,-0.750879,1.26528,2.05034
1535252460535370,-0.779172,1.25864,2.01725
1535252460552411,-0.812612,1.25008,1.97943
1535252460574470,-0.850418,1.23922,1.93769
1535252460595563,-0.89167,1.22627,1.89307
1535252460612574,-0.939231,1.20932,1.84137
1535252460634639,-0.987411,1.1888,1.78886
1535252460655734,-1.03222,1.16595,1.73874
1535252460671780,-1.07266,1.13997,1.69433
1535252460694791,-1.10901,1.11124,1.65514
1535252460716199,-1.14326,1.07944,1.61867
1535252460731890,-1.16949,1.04788,1.58923
1535252460754951,-1.18937,1.01825,1.56816
1535252460777481,-1.208,0.989079,1.55131
1535252460800070,-1.22448,0.958823,1.53583
1535252460815112,-1.23887,0.927161,1.52062
1535252460835214,-1.25035,0.896455,1.50625
1535252460852213,-1.26075,0.867578,1.49435
1535252460874267,-1.27111,0.8392,1.48413
1535252460895358,-1.28098,0.809717,1.47532
1535252460912444,-1.28955,0.780116,1.46594
1535252460934962,-1.29795,0.750739,1.45553
1535252460955612,-1.30632,0.719992,1.4451
1535252460971651,-1.31379,0.689187,1.43566
1535252460994587,-1.32155,0.658326,1.42838
1535252461015668,-1.32941,0.626891,1.42153
1535252461039707,-1.33605,0.593066,1.41566
1535252461054747,-1.34198,0.558278,1.40911
1535252461075804,-1.34659,0.524329,1.40395
1535252461091927,-1.35186,0.490289,1.40137
1535252461114908,-1.35675,0.454574,1.4001
1535252461135964,-1.3604,0.418349,1.39938
1535252461151005,-1.36257,0.384111,1.39993
1535252461175069,-1.36476,0.349829,1.4015
1535252461196157,-1.36493,0.315887,1.40331
1535252461218218,-1.3672,0.284892,1.4065
1535252461234262,-1.37367,0.256451,1.41084
1535252461255319,-1.38166,0.228277,1.41497
1535252461271644,-1.38601,0.200257,1.41697
1535252461294390,-1.38749,0.174705,1.41825
