timestamp,roll,pitch,yaw
1535252732432002,-1.42264,-0.116577,1.36879
1535252732446596,-1.42064,-0.120108,1.36838
1535252732469717,-1.41925,-0.122715,1.36786
1535252732492897,-1.4193,-0.124225,1.36725
1535252732507892,-1.41929,-0.12485,1.36657
1535252732529816,-1.41852,-0.124824,1.36556
1535252732552878,-1.41765,-0.124234,1.36444
1535252732599001,-1.41759,-0.123716,1.36334
1535252732601083,-1.41752,-0.123459,1.36246
1535252732613039,-1.41663,-0.123242,1.36145
1535252732631183,-1.41657,-0.122926,1.36068
1535252732651226,-1.41693,-0.122806,1.36024
1535252732684228,-1.41659,-0.122634,1.3599
1535252732724334,-1.416,-0.122884,1.35989
1535252732734361,-1.41564,-0.12327,1.35976
1535252732748746,-1.41518,-0.123465,1.35977
1535252732749401,-1.41449,-0.123223,1.35988
1535252732769454,-1.41312,-0.123265,1.35989
1535252732791643,-1.41103,-0.123312,1.35988
1535252732809731,-1.40981,-0.122907,1.35958
1535252732829615,-1.40916,-0.122201,1.35914
1535252732851673,-1.40852,-0.121622,1.35894
1535252732869721,-1.40751,-0.121429,1.35863
1535252732889355,-1.40731,-0.121182,1.35808
1535252732911877,-1.40768,-0.120764,1.35763
1535252732929882,-1.4084,-0.120725,1.35708
1535252732957191,-1.40887,-0.120982,1.35662
1535252732971993,-1.41033,-0.121717,1.35614
1535252732990041,-1.41188,-0.122848,1.35587
1535252733009118,-1.41271,-0.124183,1.35605
1535252733032172,-1.41402,-0.125339,1.35659
1535252733049333,-1.41534,-0.126137,1.35724
1535252733069251,-1.41552,-0.126516,1.35776
1535252733092103,-1.41586,-0.126476,1.35869
1535252733109358,-1.41606,-0.126552,1.35934
1535252733129436,-1.41614,-0.126906,1.3599
1535252733151471,-1.4153,-0.127522,1.36021
1535252733169518,-1.41468,-0.128503,1.3602
1535252733190857,-1.41349,-0.129457,1.3596
1535252733211632,-1.41232,-0.130205,1.3588
1535252733234743,-1.41141,-0.130172,1.35778
1535252733251786,-1.41032,-0.129922,1.35691
1535252733271791,-1.40911,-0.12941,1.3558
1535252733289839,-1.40782,-0.128387,1.35459
1535252733316911,-1.4062,-0.127581,1.35273
1535252733331953,-1.4049,-0.126878,1.35084
1535252733349999,-1.40272,-0.126143,1.34921
1535252733371126,-1.4027,-0.124985,1.34767
1535252733392111,-1.40297,-0.123641,1.34606
1535252733409157,-1.40209,-0.122003,1.34445
1535252733430930,-1.39997,-0.120117,1.34309
1535252733451272,-1.39756,-0.119309,1.3417
1535252733469316,-1.39606,-0.118378,1.34064
1535252733491250,-1.39446,-0.117088,1.33981
1535252733511544,-1.39359,-0.115143,1.33913
1535252733529476,-1.39298,-0.113001,1.33789
1535252733552538,-1.39332,-0.110379,1.33723
1535252733571590,-1.39312,-0.108589,1.33676
1535252733589637,-1.39368,-0.106068,1.33633
1535252733611696,-1.39354,-0.103439,1.336
1535252733631862,-1.39422,-0.100314,1.33602
1535252733649798,-1.39499,-0.0952322,1.33572
1535252733671855,-1.39634,-0.088549,1.33514
1535252733692013,-1.39802,-0.0811623,1.33473
1535252733714973,-1.39957,-0.0730525,1.33368
1535252733731016,-1.40082,-0.0648035,1.3329
1535252733754075,-1.40318,-0.0561826,1.33214
1535252733775130,-1.4057,-0.0476914,1.33102
1535252733792175,-1.40791,-0.0390599,1.33017
1535252733814355,-1.40886,-0.0297857,1.32933
1535252733835290,-1.40945,-0.0210855,1.32837
1535252733850795,-1.41034,-0.0121126,1.32757
1535252733873397,-1.41054,-0.00228632,1.32687
1535252733894448,-1.41144,0.00819394,1.32647
1535252733910491,-1.4127,0.0186685,1.32617
1535252733933728,-1.4128,0.0291922,1.32567
1535252733954692,-1.41239,0.0400564,1.32527
1535252733970651,-1.41224,0.0508895,1.32525
1535252734001856,-1.41138,0.0620962,1.32501
1535252734014773,-1.41126,0.0732344,1.32425
1535252734031088,-1.41175,0.0857771,1.32274
1535252734053873,-1.4125,0.099052,1.32168
1535252734077018,-1.41265,0.112164,1.32091
1535252734098072,-1.41229,0.124779,1.32002
1535252734114093,-1.4116,0.137066,1.31908
1535252734136144,-1.41085,0.149413,1.31833
1535252734157249,-1.41098,0.162559,1.31774
1535252734174197,-1.41128,0.176362,1.31742
1535252734197257,-1.41071,0.189526,1.31718
1535252734217313,-1.41101,0.202806,1.31658
1535252734234465,-1.41179,0.216687,1.31628
1535252734256414,-1.41206,0.230502,1.31557
1535252734277471,-1.41286,0.24413,1.31456
1535252734293845,-1.41412,0.257289,1.31356
1535252734316572,-1.41412,0.270521,1.31297
1535252734338677,-1.41359,0.284097,1.31253
1535252734353672,-1.41378,0.296954,1.31185
1535252734376738,-1.4137,0.309746,1.31088
1535252734397890,-1.41373,0.323062,1.30966
1535252734413836,-1.41376,0.337021,1.30866
1535252734436898,-1.41343,0.351126,1.30789
1535252734457949,-1.41351,0.365254,1.30673
1535252734473989,-1.41425,0.379391,1.30574
1535252734496049,-1.41398,0.393144,1.30513
1535252734517104,-1.41276,0.406867,1.30482
1535252734534150,-1.41119,0.420621,1.30449
1535252734556208,-1.41116,0.43429,1.30364
1535252734577264,-1.41132,0.44741,1.30269
1535252734594310,-1.41221,0.460883,1.30142
1535252734616368,-1.41393,0.474031,1.30012
1535252734637426,-1.41408,0.487123,1.2987
1535252734653572,-1.41539,0.500195,1.29738
1535252734676529,-1.41783,0.513227,1.29594
1535252734697785,-1.42011,0.525501,1.29432
1535252734713991,-1.42133,0.537616,1.29261
1535252734736690,-1.42189,0.550716,1.29115
1535252734757743,-1.42243,0.563406,1.28981
1535252734772873,-1.42342,0.575605,1.28914
1535252734796850,-1.42365,0.588485,1.28793
1535252734817904,-1.42438,0.602058,1.28673
1535252734832967,-1.42563,0.614761,1.28572
1535252734856057,-1.42732,0.626873,1.28461
1535252734877065,-1.42694,0.639889,1.28336
1535252734900206,-1.42691,0.653591,1.28289
1535252734916288,-1.42887,0.666465,1.28314
1535252734937225,-1.42934,0.678784,1.28334
1535252734953284,-1.4282,0.691185,1.28352
1535252734976330,-1.42619,0.703993,1.28405
1535252735006414,-1.42536,0.716304,1.28526
1535252735013426,-1.42614,0.728211,1.28694
1535252735036646,-1.42525,0.741027,1.28831
1535252735058597,-1.42266,0.753958,1.28977
1535252735073586,-1.42044,0.766261,1.29115
1535252735096647,-1.41934,0.778439,1.29287
1535252735118707,-1.41874,0.790693,1.29516
1535252735139924,-1.41654,0.803766,1.29743
1535252735156807,-1.41329,0.817281,1.2999
1535252735178866,-1.41022,0.830719,1.30276
1535252735200028,-1.40778,0.8444,1.30715
1535252735216973,-1.40597,0.859366,1.31175
1535252735239027,-1.40242,0.875547,1.317
1535252735261272,-1.39871,0.89194,1.3222
1535252735276348,-1.39515,0.907845,1.32698
1535252735306205,-1.39065,0.923233,1.33095
1535252735327296,-1.38715,0.938309,1.33413
1535252735336287,-1.38341,0.951822,1.33692
1535252735359357,-1.37924,0.965158,1.34045
1535252735380402,-1.37462,0.977484,1.34449
1535252735396684,-1.37089,0.989751,1.3495
1535252735418595,-1.36743,1.00183,1.3539
1535252735447732,-1.36431,1.01356,1.35709
1535252735458301,-1.36123,1.0244,1.35995
1535252735479014,-1.35841,1.03546,1.36297
1535252735500726,-1.35676,1.04573,1.36574
1535252735516768,-1.35437,1.05521,1.36825
1535252735538826,-1.35377,1.06485,1.37032
1535252735559882,-1.35274,1.07418,1.37346
1535252735575922,-1.35095,1.08203,1.37627
1535252735598984,-1.34816,1.08945,1.37931
1535252735620108,-1.34437,1.09673,1.38333
1535252735636187,-1.33969,1.10343,1.38929
1535252735659146,-1.33451,1.10978,1.39687
1535252735680274,-1.3285,1.11576,1.40354
1535252735696246,-1.32165,1.12157,1.41085
1535252735719305,-1.31485,1.12743,1.42012
1535252735741363,-1.30751,1.13375,1.42942
1535252735755806,-1.29903,1.13942,1.43831
1535252735778626,-1.29165,1.14469,1.44689
1535252735799598,-1.28304,1.14996,1.45516
1535252735815565,-1.27365,1.15479,1.46462
1535252735838729,-1.26575,1.15954,1.47493
1535252735859719,-1.25974,1.16363,1.48257
1535252735876729,-1.2525,1.16716,1.48822
1535252735898783,-1.24453,1.17072,1.4954
1535252735919840,-1.23486,1.17382,1.50496
1535252735935882,-1.22494,1.17732,1.51648
1535252735958941,-1.21643,1.17963,1.52648
1535252735981835,-1.20787,1.18221,1.53574
1535252735996039,-1.19788,1.18504,1.54512
1535252736019102,-1.18897,1.18764,1.55512
1535252736041327,-1.18275,1.19014,1.56339
1535252736056202,-1.17594,1.19413,1.57136
1535252736079263,-1.16902,1.19781,1.57905
1535252736101324,-1.16312,1.20259,1.58648
1535252736115393,-1.15816,1.2079,1.59226
1535252736138606,-1.15299,1.21353,1.59828
1535252736161591,-1.14463,1.2193,1.60664
1535252736175585,-1.13656,1.22583,1.61591
1535252736198614,-1.12657,1.23195,1.62659
1535252736221762,-1.11439,1.23725,1.63916
1535252736235736,-1.10292,1.24125,1.65121
1535252736258739,-1.09357,1.24432,1.66008
1535252736280979,-1.08321,1.24702,1.66908
1535252736295850,-1.07412,1.24937,1.678
1535252736318909,-1.06731,1.25203,1.68638
1535252736341961,-1.06179,1.25369,1.69231
1535252736356000,-1.05636,1.25476,1.69757
1535252736379062,-1.05357,1.25563,1.70229
1535252736401252,-1.05093,1.25531,1.70555
1535252736422239,-1.04623,1.25499,1.71004
1535252736439222,-1.04063,1.25525,1.71644
