timestamp,x,y,z
1535253195518264,-0.25,-0.125,0.0625
1535253195540824,-0.4375,-0.125,-0.1875
1535253195571479,0.1875,0,-0.125
1535253195579426,0.6875,-0.375,0.25
1535253195600984,-0.1875,-0.5,0
1535253195624545,-0.125,-0.125,-0.3125
1535253195669667,1.5,-0.4375,-0.125
1535253195678690,-1.4375,-1.0625,0.125
1535253195679693,-3.125,-0.4375,-0.125
1535253195692226,-0.6875,-0.0625,-0.375
1535253195714786,2,-0.0625,0.3125
1535253195735843,-0.125,0.3125,-0.3125
1535253195753890,-0.8125,0.1875,-0.875
1535253195813548,0.75,-0.25,-0.3125
1535253195814051,-0.3125,-0.625,-0.375
1535253195821570,0.6875,-0.5625,0.1875
1535253195833205,0.625,0.0625,-0.5625
1535253195856663,-1.125,-0.25,-0.4375
1535253195880226,-1.5,-0.5625,0.0625
1535253195901300,0.6875,-0.4375,0.3125
1535253195917842,0.875,0.25,-0.125
1535253195940404,-0.1875,0.125,-0.3125
1535253195961540,-0.25,-0.0625,-0.0625
1535253195978003,-0.5625,0.1875,0.1875
1535253196000563,0.375,0.25,-0.1875
1535253196021620,1.25,0.75,0.25
1535253196037662,0.5,0.125,0.25
1535253196060221,0.8125,0.5,-0.125
1535253196082782,1,0.125,0.125
1535253196097821,-0.0625,-0.25,0.75
1535253196126429,-0.5,-0.1875,-0.0625
1535253196150462,0.375,-0.25,-0.3125
1535253196165502,0.25,-0.25,0
1535253196180542,-0.1875,0,-0.25
1535253196203102,-1.5,0.0625,-0.3125
1535253196217138,-0.6875,0,-0.3125
1535253196240428,1.3125,0.5625,0
1535253196262760,-1.0625,-0.0625,0.3125
1535253196277299,-0.5625,-0.0625,0
1535253196300378,0.5625,0.0625,0
1535253196322939,0,-0.125,-0.0625
1535253196336975,0.375,0,-0.125
1535253196360538,0.75,0.0625,-0.125
1535253196382596,1.625,0.0625,-0.25
1535253196404157,0.8125,0.25,-0.0625
1535253196427766,0.375,0.0625,-0.0625
1535253196442757,-0.1875,0,-0.25
1535253196457298,-0.375,-0.0625,-0.1875
1535253196480357,0.1875,0,-0.375
1535253196502921,0.25,0.0625,-0.25
1535253196516954,0.4375,0,0
1535253196540517,0.625,0.125,-0.0625
1535253196563076,-0.3125,0,-0.25
1535253196584132,0.0625,0.0625,0
1535253196600176,0.5625,0.125,0.25
1535253196622737,0.1875,0.1875,0.3125
1535253196643792,-0.375,0.125,0.125
1535253196660378,-0.375,0.0625,0.375
1535253196682896,-0.0625,0.0625,0.3125
1535253196705457,-0.125,0.25,-0.0625
1535253196720547,0.3125,0.125,0
1535253196743055,0.125,0.125,-0.0625
1535253196764112,0.8125,0.1875,-0.1875
1535253196787676,0.6875,0.3125,-0.3125
1535253196802213,0.625,0.125,-0.25
1535253196825276,0.3125,0,0
1535253196847885,-0.375,0.1875,-0.0625
1535253196862373,-0.1875,0.0625,0
1535253196885440,0.0625,0,-0.25
1535253196907995,0.8125,0.125,0
1535253196922541,0.125,-0.25,-0.375
1535253196959129,-0.3125,0,-0.375
1535253196982693,0.5625,0.125,0
1535253196985200,0.125,0.125,0
1535253197005258,-1.0625,0.0625,0.125
1535253197027813,-0.5625,-0.125,0.1875
1535253197042352,-0.5,0,0
1535253197065413,0.375,0.1875,0.0625
1535253197088095,-0.5625,-0.125,0.1875
1535253197109029,-0.875,-0.3125,0
1535253197125573,0.0625,0.3125,0.0625
1535253197147719,0.625,0.375,0.25
1535253197168956,0.5625,0.25,0.1875
1535253197185232,-0.6875,-0.1875,0
1535253197207792,-1.0625,-0.3125,-0.0625
