timestamp,x,y,z,w
1535253287318113,0.285217,-0.0291138,0.496094,0.819519
1535253287341227,0.284973,-0.0279541,0.496155,0.81958
1535253287363267,0.284546,-0.0255127,0.496155,0.819824
1535253287378288,0.283691,-0.0231323,0.496948,0.819702
1535253287401835,0.279419,-0.0213623,0.499146,0.819885
1535253287423393,0.275208,-0.0198364,0.502258,0.819458
1535253287446956,0.271973,-0.0180664,0.505493,0.818604
1535253287492098,0.268494,-0.0167847,0.508179,0.818115
1535253287499095,0.264954,-0.0151978,0.510986,0.817566
1535253287511127,0.26123,-0.0136719,0.513672,0.817078
1535253287522165,0.255798,-0.0130615,0.516846,0.816772
1535253287547245,0.247925,-0.0137939,0.520264,0.817078
1535253287574818,0.239746,-0.0151978,0.523621,0.817322
1535253287626456,0.232361,-0.0169678,0.527588,0.816895
1535253287627458,0.226135,-0.0186157,0.532166,0.815613
1535253287635480,0.220398,-0.0201416,0.537048,0.813904
1535253287643500,0.214355,-0.0222168,0.542847,0.811646
1535253287663053,0.209717,-0.0233154,0.549988,0.808044
1535253287685613,0.207397,-0.0227051,0.557922,0.803162
1535253287703661,0.207947,-0.0210571,0.56604,0.797363
1535253287723213,0.210266,-0.0197754,0.573425,0.791504
1535253287745272,0.212952,-0.0187378,0.580933,0.785339
1535253287763334,0.214783,-0.0185547,0.588867,0.778931
1535253287782872,0.21698,-0.0186157,0.596069,0.772766
1535253287805431,0.221313,-0.019165,0.602722,0.766357
1535253287823479,0.226624,-0.0194092,0.609009,0.759766
1535253287843032,0.22998,-0.0194092,0.614746,0.75415
1535253287865592,0.23291,-0.0192871,0.618958,0.749756
1535253287883641,0.238586,-0.0175781,0.623901,0.743896
1535253287903192,0.240051,-0.017334,0.627563,0.740356
1535253287925752,0.238953,-0.017334,0.629272,0.739258
1535253287943299,0.237122,-0.0171509,0.63031,0.739014
1535253287963095,0.233643,-0.0192871,0.630066,0.740234
1535253287985410,0.227051,-0.020813,0.628296,0.743713
1535253288003459,0.227295,-0.0192261,0.628418,0.743591
1535253288023010,0.223816,-0.0203857,0.628296,0.744751
1535253288045571,0.216675,-0.0228271,0.628906,0.746277
1535253288063618,0.210632,-0.0252075,0.62915,0.747742
1535253288084690,0.206299,-0.0275269,0.629272,0.748718
1535253288105735,0.2005,-0.0310059,0.629944,0.749634
1535253288123680,0.195862,-0.0338135,0.630859,0.749939
1535253288144333,0.193726,-0.0349121,0.631592,0.749817
1535253288165434,0.190613,-0.0361938,0.632385,0.749939
1535253288183437,0.18689,-0.0372314,0.63324,0.750061
1535253288204495,0.182678,-0.0380859,0.634155,0.750244
1535253288225610,0.177063,-0.0390625,0.635193,0.750732
1535253288243597,0.173218,-0.0385132,0.636353,0.75061
1535253288264654,0.166077,-0.0409546,0.637451,0.75116
1535253288285709,0.153503,-0.0476074,0.637268,0.753662
1535253288303294,0.152954,-0.0493164,0.637634,0.753357
1535253288324316,0.154785,-0.0518799,0.638245,0.752258
1535253288345368,0.153137,-0.0543213,0.63855,0.752197
1535253288363417,0.153992,-0.0550537,0.63916,0.751404
