timestamp,x,y,z
1535251498483228,11.9375,-4,2.0625
1535251498507292,4.5,-5.8125,1.625
1535251498522367,-2.1875,-4.5,-1.25
1535251498543424,-1.5,-1.0625,-2.125
1535251498566986,-1.75,-2.375,-0.375
1535251498582026,-1.75,-2.75,2.375
1535251498604587,-2.25,-3.6875,1.9375
1535251498657880,-2.25,-3.125,-1.5625
1535251498658929,-5.4375,-2.4375,-0.5625
1535251498659733,9.25,-3.375,5.75
1535251498671811,13.9375,-3.75,5.0625
1535251498695356,3.375,-0.6875,-0.1875
1535251498709418,-1.5,-0.0625,-0.6875
1535251498732954,0.3125,-1.5,3.125
1535251498778576,0.375,-1.1875,3.5
1535251498779516,-4,-1.6875,-0.375
1535251498793898,-4.625,-0.625,-1.0625
1535251498813168,0.875,-2.25,2.125
1535251498829712,2.625,-2.375,1.8125
1535251498853830,-0.6875,-2.3125,0.0625
1535251498873329,-1.125,-0.6875,1
1535251498891377,1.8125,-2.9375,2.125
1535251498913935,5.4375,-2.5,0.75
1535251498933488,2.75,-0.8125,-2.125
1535251498951202,-3.375,1.5625,-2.4375
1535251498973595,-3.8125,-0.9375,-0.6875
1535251498993157,-4.8125,-1.25,1
1535251499011243,-5.3125,-0.5,-1.125
1535251499033755,-0.375,-0.5,-0.4375
1535251499053307,4,0.25,-1.125
1535251499071355,-0.6875,1,-1.1875
1535251499099931,3.0625,0.6875,0.5
1535251499113526,5.6875,2.625,-0.875
1535251499138607,-1.125,4.5,-0.8125
1535251499153573,-4.625,4.375,1.5
1535251499174640,-2.9375,3.5,3.3125
1535251499191453,0.875,3.9375,3.1875
1535251499213902,1.5,1.875,2.625
1535251499234914,1.3125,-2.4375,3.6875
1535251499251334,0.1875,-3.3125,3.0625
1535251499273894,3,-0.5625,2.4375
1535251499294950,7.5,0.625,2.8125
1535251499310993,4.75,1.875,3.0625
1535251499333683,2,2.8125,3.625
1535251499354608,-1.5,3.625,3.3125
1535251499372676,-3.8125,3.8125,3.875
1535251499393732,-2.5625,2.0625,4.25
1535251499414829,-1.0625,1.4375,4
1535251499435862,1.4375,0.6875,4.8125
1535251499453935,8.875,1.125,5.3125
1535251499476112,9.1875,-0.875,5.625
1535251499496047,1.625,-3.875,4.875
1535251499519902,9.25,-2.6875,5.0625
1535251499534651,13.625,-2,3.125
1535251499557237,4.8125,0,1.3125
1535251499579798,-4.875,-4.5,2.6875
1535251499596341,8.9375,-5,7.875
1535251499615895,18.5625,-0.9375,4.0625
1535251499633440,0.375,1.4375,-1.6875
1535251499656502,-18.25,-8.375,0.3125
1535251499676054,-2,-14.25,11.625
1535251499694102,22.1875,-6.5,10.25
1535251499723680,21.1875,1.5,-0.8125
1535251499736715,-19.375,-1.6875,-9.125
1535251499760310,-4.4375,-4.1875,9.375
1535251499782838,12.0625,-5.5625,15.9375
1535251499797878,9.5625,4.5,3.1875
1535251499818936,-6.75,4.25,-5.75
1535251499835478,-14.3125,-0.0625,-3.25
1535251499858038,2.1875,-3.625,11.75
1535251499886613,11.75,-2.6875,10.25
1535251499901152,13.25,4.5625,2.6875
1535251499925216,6.1875,3.5,1.125
1535251499938752,-9.8125,0.875,0.875
1535251499954795,-23.3125,1.5,1.875
1535251499977857,-6.0625,5.25,6.3125
1535251500006433,5.5625,9.8125,0.625
1535251500014955,5.9375,13.25,-6.125
1535251500038016,-3.8125,9.625,-6.5
1535251500060576,-15.4375,6.5625,-5.5625
1535251500074614,-20.875,5.0625,-5.25
1535251500097675,-10.875,6.8125,-3.5625
1535251500120606,6.3125,8.375,-2.6875
1535251500134806,13.6875,7.0625,-2.6875
1535251500157835,9.875,5,-1.9375
1535251500180896,3.5,6,0.25
1535251500194933,-2.3125,6,0.0625
1535251500217997,-5.9375,4.0625,-0.875
1535251500240555,-7.3125,2.875,-3.25
