timestamp,x,y,z,w
1535263595717276,-0.0629883,0.0403442,0.979797,0.185425
1535263595741340,-0.0600586,0.0415649,0.97821,0.194092
1535263595756380,-0.0648804,0.0431519,0.976196,0.202393
1535263595777938,-0.071106,0.0395508,0.974304,0.209961
1535263595800999,-0.0751343,0.0374756,0.971985,0.219299
1535263595823608,-0.0796509,0.0368652,0.969604,0.228149
1535263595838598,-0.083252,0.0372314,0.967346,0.236267
1535263595883718,-0.0776367,0.041687,0.965515,0.244934
1535263595892743,-0.0748291,0.0462036,0.963318,0.253479
1535263595900263,-0.0759888,0.0494995,0.961243,0.260132
1535263595921320,-0.0827026,0.052124,0.959839,0.262878
1535263595936359,-0.0938721,0.0482788,0.959351,0.261719
1535263595958508,-0.1073,0.0428467,0.958435,0.260803
1535263596002198,-0.129028,0.0401611,0.956482,0.258484
1535263596012225,-0.148926,0.0390015,0.955444,0.251648
1535263596018748,-0.150085,0.0404663,0.9552,0.251831
1535263596040299,-0.134216,0.0464478,0.955139,0.259705
1535263596056341,-0.107422,0.055542,0.954163,0.273682
1535263596077427,-0.0825195,0.0628052,0.953308,0.283508
1535263596100517,-0.0584106,0.0683594,0.951843,0.29303
1535263596116060,-0.0369873,0.0771484,0.94989,0.300415
1535263596145638,-0.0341187,0.0861206,0.9505,0.296448
1535263596160177,-0.0447388,0.0974121,0.953796,0.280518
1535263596176219,-0.0506592,0.13385,0.955994,0.255859
1535263596197275,-0.052124,0.121277,0.96228,0.237671
1535263596220337,-0.0462036,0.0876465,0.969666,0.223328
1535263596236379,-0.0650635,0.0346069,0.973022,0.218567
1535263596257434,-0.0827637,-0.0098877,0.972961,0.215332
1535263596280661,-0.0961914,-0.0273438,0.971191,0.216125
1535263596296084,-0.100525,-0.026123,0.971619,0.21228
1535263596318644,-0.101624,-0.0145874,0.971741,0.21228
1535263596342072,-0.101501,-0.0045166,0.971863,0.212402
1535263596356244,-0.0991211,0.000305176,0.972351,0.211365
1535263596378934,-0.0964355,0.00311279,0.972839,0.210327
1535263596400884,-0.0948486,0.00457764,0.973206,0.209229
1535263596416494,-0.0952148,0.00341797,0.973633,0.207031
1535263596438527,-0.0958862,6.10352e-05,0.974182,0.204102
1535263596460579,-0.0934448,0.0012207,0.974548,0.203552
1535263596476086,-0.0941162,0.00964355,0.973694,0.207153
1535263596498644,-0.0942383,0.0178833,0.973145,0.209106
1535263596520201,-0.088562,0.0383911,0.968811,0.227966
1535263596536245,-0.0831909,0.0428467,0.97113,0.219238
1535263596558806,-0.0747681,0.0401611,0.972168,0.21814
1535263596580362,-0.0578613,0.0402832,0.971558,0.22583
1535263596596572,-0.0568848,0.0457764,0.969238,0.234863
1535263596618964,-0.0440063,0.0470581,0.970276,0.233154
1535263596641023,-0.0411377,0.0516357,0.969604,0.235474
1535263596656063,-0.0363159,0.0604858,0.968811,0.237488
1535263596678623,-0.0283203,0.0706787,0.96814,0.238281
1535263596699973,-0.0178833,0.0773315,0.967957,0.238098
1535263596716226,-0.0112915,0.0845337,0.967346,0.238586
1535263596738784,-0.00335693,0.0883179,0.967529,0.236572
1535263596760002,0.00701904,0.0927734,0.967651,0.234436
1535263596776383,0.0197144,0.0986938,0.967468,0.231873
1535263596798947,0.0339355,0.103088,0.967834,0.226807
1535263596819998,0.0424805,0.102722,0.969482,0.218201
1535263596836043,0.0501709,0.102051,0.970642,0.211731
1535263596858602,0.0604248,0.103516,0.969543,0.213318
1535263596879657,0.0737305,0.108521,0.967041,0.21814
1535263596896203,0.0896606,0.112122,0.96521,0.218323
1535263596918763,0.0993652,0.113586,0.963928,0.218994
1535263596939817,0.10907,0.117004,0.96167,0.222473
1535263596956362,0.115784,0.120239,0.958984,0.228943
1535263596985469,0.12262,0.117432,0.957642,0.2323
1535263597001482,0.128357,0.114258,0.956604,0.235046
1535263597024543,0.133606,0.112915,0.955078,0.239136
1535263597045580,0.135071,0.111084,0.954285,0.242126
1535263597061460,0.134949,0.108948,0.95459,0.242004
1535263597084229,0.139404,0.111145,0.953552,0.242554
1535263597106790,0.148438,0.11377,0.951965,0.242126
1535263597121328,0.14917,0.111206,0.953369,0.237366
1535263597144391,0.152649,0.110291,0.953552,0.234985
1535263597165468,0.161255,0.110718,0.952393,0.233765
1535263597188028,0.165039,0.10614,0.953125,0.230164
1535263597212093,0.168396,0.104858,0.953552,0.226563
1535263597218609,0.174683,0.105713,0.953125,0.223145
